Rk,Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,WHIP,H9,HR9,BB9,SO9,SO/W,Notes
1,Jake Barrett,20,2,4,0.333,1.62,31,0,,,0,11,33.1,21,9,6,1,9,1,36,1,0,3,130,0.9,5.7,0.3,2.4,9.7,4,
2,Alex Blackford,21,1,3,0.25,5.71,19,9,,,0,0,52,57,37,33,1,17,0,48,11,0,4,241,1.423,9.9,0.2,2.9,8.3,2.82,
3,Brandon Bonilla*,18,0,0,,5.11,10,0,,,0,0,12.1,11,11,7,2,11,0,13,0,0,1,61,1.784,8,1.5,8,9.5,1.18,
4,Josh Dahl?,--,0,0,,13.5,2,0,,,0,0,1.1,1,2,2,0,1,0,1,4,0,0,10,1.5,6.8,0,6.8,6.8,1,
5,Matt Dunbar*,22,1,0,1,1.54,23,1,,,0,0,35,25,8,6,1,12,0,30,2,0,2,145,1.057,6.4,0.3,3.1,7.7,2.5,
6,Darin Gillies,19,1,4,0.2,5.03,13,10,,,0,0,39.1,46,24,22,1,15,0,29,11,2,5,183,1.551,10.5,0.2,3.4,6.6,1.93,
7,Adrian Gomez?,--,0,0,,10.57,7,0,,,0,0,7.2,14,10,9,2,2,0,3,0,0,0,38,2.087,16.4,2.3,2.3,3.5,1.5,
8,Joe Lopez,22,2,0,1,6,18,0,,,0,0,21,22,16,14,2,10,0,12,0,0,3,95,1.524,9.4,0.9,4.3,5.1,1.2,
9,Josh McAlister?,--,0,0,,2.45,5,0,,,0,0,7.1,6,2,2,0,5,0,4,0,0,0,31,1.5,7.4,0,6.1,4.9,0.8,
10,Adam McCreery*,19,2,0,1,1.32,5,2,,,0,0,13.2,12,2,2,0,6,0,14,0,0,3,58,1.317,7.9,0,4,9.2,2.33,
11,Zak Miller,20,1,1,0.5,4.22,5,3,,,0,0,10.2,18,5,5,1,3,0,4,0,0,0,50,1.969,15.2,0.8,2.5,3.4,1.33,
12,Robert Ravago,21,4,1,0.8,2.56,27,0,,,0,1,31.2,23,12,9,0,7,0,21,4,0,1,127,0.947,6.5,0,2,6,3,
13,Brady Rodgers,21,10,3,0.769,2.27,15,15,,,0,0,115,94,36,29,3,16,0,79,11,1,1,458,0.957,7.4,0.2,1.3,6.2,4.94,
14,Trevor Williams,20,12,2,0.857,2.05,16,15,,,2,0,109.2,90,33,25,7,13,0,59,6,0,2,426,0.939,7.4,0.6,1.1,4.8,4.54,
15,Billy Young,21,0,2,0,6,5,1,,,0,0,9,15,9,6,0,2,0,4,0,2,1,42,1.889,15,0,2,4,2,
,15 Players,20.5,,,,3.19,0,0,0,0,6,0,499,455,216,177,21,129,1,357,50,5,26,2095,1.17,8.2,0.4,2.3,6.4,2.77,
