Rk,Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,WHIP,H9,HR9,BB9,SO9,SO/W,Notes
1,Randy Abshier*,21,4,0,1,2.91,20,0,,0,0,1,21.2,22,8,7,1,11,2,26,2,0,0,96,1.523,9.1,0.4,4.6,10.8,2.36,
2,George Arias,21,0,0,,3.86,3,0,,0,0,0,2.1,2,1,1,0,2,0,5,1,0,0,12,1.714,7.7,0,7.7,19.3,2.5,
3,Ian Churchill*,22,0,1,0,8.56,13,0,,0,0,0,13.2,17,14,13,1,9,0,12,2,1,2,68,1.902,11.2,0.7,5.9,7.9,1.33,
4,Riley Cooper*,19,3,0,1,4.88,29,2,,0,0,0,31.1,26,19,17,0,13,0,20,4,0,3,131,1.245,7.5,0,3.7,5.7,1.54,
5,German Fajardo,20,0,0,,27,1,0,,0,0,0,0.1,2,1,1,0,1,1,0,0,0,0,4,9,54,0,27,0,0,
6,Quinn Flanagan,22,0,4,0,3.99,19,0,,0,0,4,38.1,37,20,17,1,23,0,45,3,1,10,182,1.565,8.7,0.2,5.4,10.6,1.96,
7,Jon Guardado,22,0,0,,0,1,0,,0,0,0,1,2,0,0,0,0,0,1,0,0,0,5,2,18,0,0,9,,
8,Garrett Irvin*,22,6,4,0.6,4.58,18,18,,2,1,0,88.1,96,48,45,6,35,1,75,2,2,6,398,1.483,9.8,0.6,3.6,7.6,2.14,
9,Trevor Long,20,2,0,1,10.66,6,0,,0,0,0,12.2,23,15,15,2,4,0,8,3,0,2,68,2.132,16.3,1.4,2.8,5.7,2,
10,Gil Luna*,21,1,0,1,1.69,14,0,,0,0,1,21.1,13,5,4,0,11,0,31,1,1,4,86,1.125,5.5,0,4.6,13.1,2.82,
11,Chandler Murphy,20,7,0,1,4.29,20,8,,0,0,0,63,71,43,30,1,25,1,62,5,1,10,287,1.524,10.1,0.1,3.6,8.9,2.48,
12,Dawson Netz,20,0,0,,4.5,28,2,,0,0,0,34,26,25,17,3,10,0,36,5,0,4,146,1.059,6.9,0.8,2.6,9.5,3.6,
13,TJ Nichols,19,6,3,0.667,4.77,17,9,,0,0,0,60.1,50,32,32,5,31,1,66,8,1,3,265,1.343,7.5,0.7,4.6,9.8,2.13,
14,Preston Price,23,1,1,0.5,3.38,16,0,,0,0,3,21.1,14,9,8,2,12,1,35,1,0,6,90,1.219,5.9,0.8,5.1,14.8,2.92,
15,Chase Silseth,21,8,1,0.889,5.55,18,18,,0,0,0,97.1,112,73,60,6,29,3,105,13,3,13,447,1.449,10.4,0.6,2.7,9.7,3.62,
16,Austin Smith,22,2,1,0.667,5.14,18,6,,0,0,0,28,28,17,16,0,18,1,25,2,2,6,131,1.643,9,0,5.8,8,1.39,
17,Vince Vannelle,23,5,3,0.625,2.78,26,0,,0,0,8,32.1,34,14,10,2,12,0,38,1,1,1,147,1.423,9.5,0.6,3.3,10.6,3.17,
,17 Players,21.1,45,18,0.714,4.6,63,63,61,2,2,17,567.1,575,344,290,30,246,11,590,53,13,70,2563,1.447,9.1,0.5,3.9,9.4,2.4,
