Rk,Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,WHIP,H9,HR9,BB9,SO9,SO/W,Notes
1,Josh Alberius,20,0,0,,0,1,0,,,0,0,0.2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,,
2,Jalen Beeks*,20,6,4,0.6,1.98,13,13,,,0,0,81.2,67,24,18,2,20,0,68,5,1,7,323,1.065,7.4,0.2,2.2,7.5,3.4,
3,Chris Falwell*,19,0,0,,2.7,4,0,,,0,0,6.2,6,2,2,0,3,0,4,0,0,0,29,1.35,8.1,0,4.1,5.4,1.33,
4,Michael Gunn*,21,4,2,0.667,0.74,28,0,,,0,7,36.2,21,4,3,1,16,2,35,1,0,1,146,1.009,5.2,0.2,3.9,8.6,2.19,
5,Zach Jackson,19,2,3,0.4,2.53,24,2,,,0,2,42.2,28,17,12,3,21,0,42,4,0,4,180,1.148,5.9,0.6,4.4,8.9,2,
6,Trey Killian,20,4,9,0.308,2.3,14,14,,,0,0,94,74,31,24,4,18,1,62,3,1,1,361,0.979,7.1,0.4,1.7,5.9,3.44,
7,Jackson Lowery,21,1,1,0.5,4.04,20,0,,,0,1,35.2,29,18,16,1,13,0,35,8,2,3,159,1.178,7.3,0.3,3.3,8.8,2.69,
8,Chris Oliver,20,9,4,0.692,2.51,16,16,,,0,0,93.1,68,30,26,3,36,0,59,14,0,8,378,1.114,6.6,0.3,3.5,5.7,1.64,
9,Alex Phillips,19,3,0,1,3.52,10,8,,,0,0,30.2,26,13,12,4,13,0,17,1,0,2,129,1.272,7.6,1.2,3.8,5,1.31,
10,Lance Phillips,21,0,0,,6,3,0,,,0,0,3,3,3,2,0,1,0,3,1,0,0,15,1.333,9,0,3,9,3,
11,Colin Poche*,20,3,1,0.75,3,18,8,,,0,0,39,32,14,13,1,27,0,28,2,2,11,174,1.513,7.4,0.2,6.2,6.5,1.04,
12,Landon Simpson,21,1,1,0.5,3.55,15,0,,,0,0,25.1,27,14,10,1,12,1,20,1,0,2,117,1.539,9.6,0.4,4.3,7.1,1.67,
13,Jacob Stone,21,4,0,1,0.94,24,0,,,0,4,38.1,16,8,4,1,13,1,31,9,0,2,149,0.757,3.8,0.2,3.1,7.3,2.38,
14,Dominic Taccolini,19,2,0,1,4.94,17,3,,,0,0,31,29,19,17,1,12,0,20,8,1,3,142,1.323,8.4,0.3,3.5,5.8,1.67,
15,James Teague,19,1,0,1,4.86,8,1,,,0,0,16.2,14,9,9,0,5,0,11,2,1,0,70,1.14,7.6,0,2.7,5.9,2.2,
,15 Players,20.1,,,,2.63,65,65,65,0,10,0,575.1,440,206,168,22,210,5,435,59,8,44,2374,1.13,6.9,0.3,3.3,6.8,2.07,
