Rk,Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,WHIP,H9,HR9,BB9,SO9,SO/W,Notes
1,Landon Anderson*,20,0,0,,8.2,12,1,,0,0,0,18.2,27,22,17,3,11,0,15,0,0,0,91,2.036,13,1.4,5.3,7.2,1.36,
2,Brady Barcellos*,--,0,0,,4.15,3,0,,0,0,0,4.1,5,2,2,0,2,0,3,2,0,0,21,1.615,10.4,0,4.2,6.2,1.5,
3,Tanner Bibee,20,5,7,0.417,4.33,15,15,,1,0,0,95.2,110,50,46,8,29,1,80,5,1,13,419,1.453,10.3,0.8,2.7,7.5,2.76,
4,Dillon Brown,21,3,1,0.75,2.06,19,3,,0,0,3,35,33,11,8,1,7,0,13,4,0,3,143,1.143,8.5,0.3,1.8,3.3,1.86,
5,Jimmy Endersby,21,0,0,,1.35,6,0,,0,0,0,6.2,4,1,1,0,6,0,10,1,0,1,31,1.5,5.4,0,8.1,13.5,1.67,
6,Titus Groeneweg*,19,2,0,1,4.09,13,0,,0,0,0,22,22,11,10,0,3,0,12,1,1,1,89,1.136,9,0,1.2,4.9,4,
7,Tim Josten*,19,3,4,0.429,4.14,19,8,,0,0,0,67.1,65,34,31,4,23,1,51,5,0,8,289,1.307,8.7,0.5,3.1,6.8,2.22,
8,Michael Knorr,19,4,4,0.5,5.9,14,11,,0,0,0,61,74,43,40,4,17,0,34,7,1,9,282,1.492,10.9,0.6,2.5,5,2,
9,Evan Larsen,21,0,0,,6,6,0,,0,0,0,9,9,6,6,1,5,0,4,2,0,5,41,1.556,9,1,5,4,0.8,
10,Kyle Luckham,19,4,6,0.4,5.37,18,6,,0,0,1,58.2,70,39,35,5,24,1,51,4,1,7,266,1.602,10.7,0.8,3.7,7.8,2.13,
11,Joey Magrisi,19,1,3,0.25,4.64,11,3,,0,0,0,21.1,24,14,11,1,8,0,22,0,0,2,98,1.5,10.1,0.4,3.4,9.3,2.75,
12,Matthew Sanchez,21,2,0,1,0.93,9,0,,0,0,0,9.2,6,1,1,0,5,0,14,1,0,0,41,1.138,5.6,0,4.7,13,2.8,
13,Gavin Velasquez,22,2,0,1,6.42,18,5,,0,0,1,40.2,56,29,29,5,17,0,31,3,0,8,193,1.795,12.4,1.1,3.8,6.9,1.82,
14,Michael Weisberg,20,1,1,0.5,6.5,18,1,,0,0,6,18,18,14,13,1,12,2,13,2,1,4,85,1.667,9,0.5,6,6.5,1.08,
,14 Players,20,27,26,0.509,4.81,53,53,53,0,3,0,468,523,277,250,33,169,5,353,37,5,61,2089,1.479,10.1,0.6,3.3,6.8,2.09,
