Rk,Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,WHIP,H9,HR9,BB9,SO9,SO/W,Notes
1,Jon Beymer,22,0,1,0,8.82,7,5,,0,0,0,16.1,18,16,16,3,18,0,14,7,0,2,89,2.204,9.9,1.7,9.9,7.7,0.78,
2,Cade Boxrucker,19,0,2,0,10.38,13,4,,0,0,0,17.1,26,23,20,5,21,0,18,4,0,5,100,2.712,13.5,2.6,10.9,9.3,0.86,
3,Ryan Chasse*,21,6,2,0.75,4.6,16,15,,2,1,0,78.1,76,47,40,7,32,0,74,9,0,14,351,1.379,8.7,0.8,3.7,8.5,2.31,
4,Cam Cowan,22,0,1,0,2.25,1,1,,0,0,0,4,3,2,1,0,3,0,1,1,0,1,19,1.5,6.8,0,6.8,2.3,0.33,
5,Ty Cummings,19,2,2,0.5,3.88,21,0,,0,0,1,46.1,47,23,20,2,15,0,39,5,1,11,202,1.338,9.1,0.4,2.9,7.6,2.6,
6,Tom Harrington,19,6,3,0.667,3.45,16,14,,1,1,0,75.2,65,37,29,6,28,2,75,10,1,11,328,1.229,7.7,0.7,3.3,8.9,2.68,
7,Logan Heintzman,23,7,1,0.875,3.46,18,0,,0,0,0,41.2,38,21,16,3,15,1,26,6,0,1,175,1.272,8.2,0.6,3.2,5.6,1.73,
8,Cade Kuehler,19,5,2,0.714,3.89,16,8,,0,0,1,44,51,23,19,5,22,0,41,1,0,9,206,1.659,10.4,1,4.5,8.4,1.86,
9,Landry Moore?,--,0,0,,7.36,9,0,,0,0,0,7.1,10,6,6,1,3,0,7,5,0,0,39,1.773,12.3,1.2,3.7,8.6,2.33,
10,Zach Neto,20,4,0,1,3.43,11,1,,0,0,0,21,15,9,8,0,15,2,16,7,0,5,99,1.429,6.4,0,6.4,6.9,1.07,
11,Cam O'Brien,20,0,1,0,6,6,0,,0,0,0,6,8,5,4,0,7,0,10,0,0,1,32,2.5,12,0,10.5,15,1.43,
12,Aaron Rund,22,2,0,1,5.97,10,3,,0,0,1,31.2,46,23,21,5,10,0,32,2,0,6,148,1.768,13.1,1.4,2.8,9.1,3.2,
13,Fred Sisco,--,1,1,0.5,3.06,17,1,,0,0,1,17.2,12,8,6,2,14,0,16,4,0,3,80,1.472,6.1,1,7.1,8.2,1.14,
14,Jonathan Tyler,23,0,0,,6.43,8,0,,0,0,0,7,4,5,5,0,7,0,15,1,0,3,33,1.571,5.1,0,9,19.3,2.14,
15,Kevin Westlake*,22,1,1,0.5,4.5,15,2,,0,0,4,28,14,18,14,2,15,0,30,4,0,3,117,1.036,4.5,0.6,4.8,9.6,2,
16,Chandler Williford,20,0,0,,6,11,0,,0,0,0,9,14,9,6,1,10,0,10,1,0,2,50,2.667,14,1,10,10,1,
17,Brendan Wright,21,2,1,0.667,5.68,11,0,,0,0,0,12.2,6,10,8,1,15,0,18,2,0,8,62,1.658,4.3,0.7,10.7,12.8,1.2,
18,Jack Yusko?,--,0,0,,10.29,13,1,,0,0,0,14,19,17,16,3,5,0,7,8,0,3,71,1.714,12.2,1.9,3.2,4.5,1.4,
,18 Players,20.5,37,18,0.673,4.8,55,55,52,3,2,8,478,472,302,255,46,255,5,449,77,2,88,2201,1.521,8.9,0.9,4.8,8.5,1.76,
