Rk,Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,WHIP,H9,HR9,BB9,SO9,SO/W,Notes
1,Ryan Ammons*,21,1,2,0.333,4.61,25,0,,0,0,8,27.1,20,15,14,3,14,1,40,3,0,3,119,1.244,6.6,1,4.6,13.2,2.86,
2,Mack Anglin,21,6,6,0.5,4.48,15,15,,0,0,0,76.1,63,44,38,5,52,0,78,7,0,9,345,1.507,7.4,0.6,6.1,9.2,1.5,
3,Billy Barlow,19,2,4,0.333,4.84,17,15,,0,0,0,57.2,55,40,31,5,22,0,57,7,0,5,256,1.335,8.6,0.8,3.4,8.9,2.59,
4,Nick Clayton,21,0,1,0,5.97,12,9,,0,0,0,31.2,40,25,21,5,15,0,23,4,0,6,154,1.737,11.4,1.4,4.3,6.5,1.53,
5,Jay Dill,19,2,2,0.5,5.45,28,1,,0,0,1,38,36,26,23,5,19,0,41,8,1,7,171,1.447,8.5,1.2,4.5,9.7,2.16,
6,Alex Edmondson,20,2,0,1,4.66,11,0,,0,0,0,9.2,8,5,5,1,9,0,17,4,0,5,49,1.759,7.4,0.9,8.4,15.8,1.89,
7,Geoffrey Gilbert*,21,5,2,0.714,5.2,19,5,,0,0,0,45,43,27,26,6,17,0,56,5,0,3,199,1.333,8.6,1.2,3.4,11.2,3.29,
8,Austin Gordon,19,1,0,1,5.14,17,0,,0,0,2,28,25,19,16,5,9,0,31,2,0,1,122,1.214,8,1.6,2.9,10,3.44,
9,Caden Grice*,20,2,0,1,3,7,0,,0,0,0,6,4,3,2,0,7,0,7,0,0,1,29,1.833,6,0,10.5,10.5,1,
10,Nick Hoffmann,22,3,6,0.333,6.4,18,9,,0,0,0,52,71,38,37,11,12,0,37,8,0,0,238,1.596,12.3,1.9,2.1,6.4,3.08,
11,P.J. Labriola*,21,0,0,,5.06,16,0,,0,0,0,10.2,15,9,6,2,5,1,16,2,0,2,54,1.875,12.7,1.7,4.2,13.5,3.2,
12,Jackson Lindley,22,6,0,1,4.28,31,0,,0,0,1,40,37,23,19,4,19,0,40,6,0,3,181,1.4,8.3,0.9,4.3,9,2.11,
13,Ty Olenchuk,20,2,0,1,4.11,23,0,,0,0,0,30.2,34,18,14,5,9,0,28,0,0,2,132,1.402,10,1.5,2.6,8.2,3.11,
14,Rocco Reid*,19,0,0,,4.85,12,0,,0,0,0,13,13,7,7,1,6,0,10,2,0,2,56,1.462,9,0.7,4.2,6.9,1.67,
15,Casey Tallent,19,1,0,1,3.86,15,1,,0,0,0,23.1,21,12,10,4,12,0,22,3,0,1,103,1.414,8.1,1.5,4.6,8.5,1.83,
16,Ricky Williams,20,2,0,1,2.95,9,3,,0,0,0,21.1,18,9,7,0,13,0,12,4,0,3,98,1.453,7.6,0,5.5,5.1,0.92,
,16 Players,20.4,35,23,0.603,4.86,58,58,58,0,3,12,510.2,503,320,276,62,240,2,515,65,1,53,2306,1.455,8.9,1.1,4.2,9.1,2.15,
