Rk,Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,WHIP,H9,HR9,BB9,SO9,SO/W,Notes
1,Devin Bradley?,--,1,1,0.5,3.64,15,3,,,0,0,29.2,37,16,12,0,6,0,11,3,0,2,138,1.449,11.2,0,1.8,3.3,1.83,
2,Aaron Burke?,--,10,5,0.667,1.58,35,0,,,0,7,79.2,68,22,14,1,24,6,40,15,0,0,333,1.155,7.7,0.1,2.7,4.5,1.67,
3,Ryan Connolly,21,5,2,0.714,2.1,35,0,,,0,11,77,68,24,18,3,22,4,55,6,0,1,313,1.169,7.9,0.4,2.6,6.4,2.5,
4,Josh Conway,21,4,1,0.8,2.14,9,9,,,0,0,54.2,43,16,13,2,18,0,50,7,0,1,223,1.116,7.1,0.3,3,8.2,2.78,
5,Patrick Corbett,19,2,2,0.5,3.54,17,1,,,0,2,28,18,13,11,2,13,1,26,5,0,0,116,1.107,5.8,0.6,4.2,8.4,2,
6,Chris Harrison?,--,0,1,0,1.35,4,0,,,0,1,6.2,8,1,1,0,2,0,6,1,0,1,31,1.5,10.8,0,2.7,8.1,3,
7,Tyler Herb,20,9,2,0.818,2.61,17,17,,,0,0,96.2,78,46,28,6,40,1,70,14,2,12,419,1.221,7.3,0.6,3.7,6.5,1.75,
8,Austin Kerr*,19,1,0,1,0.95,27,0,,,0,2,19,15,3,2,1,4,0,12,1,1,2,78,1,7.1,0.5,1.9,5.7,3,
9,Woody Nisbet,--,0,0,,7.36,5,0,,,0,0,3.2,3,3,3,0,6,0,4,0,0,0,20,2.455,7.4,0,14.7,9.8,0.67,
10,Josh Powell?,--,0,0,,45,2,0,,,0,0,1,6,5,5,0,2,0,0,0,0,1,11,8,54,0,18,0,0,
11,Javier Reynoso*,19,3,2,0.6,3.75,19,11,,,0,0,48,44,29,20,3,24,0,22,7,1,7,222,1.417,8.3,0.6,4.5,4.1,0.92,
12,Ben Smith*,19,2,2,0.5,3.16,21,9,,,0,3,57,48,33,20,7,23,0,59,6,2,1,251,1.246,7.6,1.1,3.6,9.3,2.57,
13,Austin Wallace?,--,5,1,0.833,2.9,15,11,,,0,0,59,51,27,19,2,18,0,44,7,0,2,253,1.169,7.8,0.3,2.7,6.7,2.44,
,13 Players,19.8,,,,2.65,0,0,0,0,4,0,560,487,238,165,27,202,12,399,72,6,30,2408,1.23,7.8,0.4,3.2,6.4,1.98,
