Rk,Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,WHIP,H9,HR9,BB9,SO9,SO/W,Notes
1,Chance Adams,20,7,1,0.875,1.98,23,0,,,0,2,59,41,15,13,3,13,0,83,9,0,4,233,0.915,6.3,0.5,2,12.7,6.38,
2,Jay Calhoun,22,1,0,1,4.42,16,6,,,0,0,36.2,36,21,18,1,22,0,31,6,0,3,173,1.582,8.8,0.2,5.4,7.6,1.41,
3,Trevor Conn,20,2,1,0.667,1.84,7,5,,,0,0,29.1,28,6,6,0,9,0,17,4,1,2,124,1.261,8.6,0,2.8,5.2,1.89,
4,Seth Elledge,19,0,0,,2.7,9,0,,,0,0,10,8,4,3,0,6,0,11,0,0,0,43,1.4,7.2,0,5.4,9.9,1.83,
5,Gavin Fritz,19,4,1,0.8,4.23,11,5,,,0,1,27.2,22,15,13,0,13,0,16,5,0,6,121,1.265,7.2,0,4.2,5.2,1.23,
6,Dalton Higgins,19,0,1,0,2.95,13,3,,,0,1,36.2,31,13,12,0,12,0,20,1,0,1,147,1.173,7.6,0,2.9,4.9,1.67,
7,Brandon Koch,21,3,2,0.6,1.26,26,0,,,0,14,43,23,8,6,2,24,1,76,2,0,6,176,1.093,4.8,0.4,5,15.9,3.17,
8,Joe Shaw,21,10,5,0.667,3.46,16,16,,,0,0,88.1,84,36,34,2,25,0,70,13,0,5,369,1.234,8.6,0.2,2.5,7.1,2.8,
9,Drew Smith,21,3,2,0.6,3.97,25,1,,,0,4,45.1,46,25,20,3,17,0,38,8,0,5,212,1.39,9.1,0.6,3.4,7.5,2.24,
10,Sean Stutzman*,21,8,1,0.889,4.29,18,6,,,0,1,56.2,46,29,27,1,26,0,51,9,0,2,245,1.271,7.3,0.2,4.1,8.1,1.96,
11,Cory Taylor,21,7,1,0.875,3.6,16,15,,,0,0,80,85,34,32,4,31,0,71,14,0,8,362,1.45,9.6,0.5,3.5,8,2.29,
12,Eric White,19,0,0,,5.79,3,0,,,0,0,4.2,5,3,3,0,3,0,4,0,0,0,22,1.714,9.6,0,5.8,7.7,1.33,
13,Landon Wilson?,--,1,0,1,4.4,15,4,,,0,0,30.2,38,17,15,3,14,0,15,4,1,2,148,1.696,11.2,0.9,4.1,4.4,1.07,
,13 Players,20.6,,,,3.32,0,0,0,0,5,0,548,493,226,202,19,215,1,503,75,2,44,2375,1.292,8.1,0.3,3.5,8.3,2.34,
