Rk,Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,WHIP,H9,HR9,BB9,SO9,SO/W,Notes
1,Luke Bolka*,19,0,0,,0,5,0,,,0,0,2.1,1,3,0,0,2,0,4,3,0,0,16,1.286,3.9,0,7.7,15.4,2,
2,Tyler Bolton,21,2,5,0.286,2.42,14,13,,,0,0,70.2,64,29,19,2,27,0,35,8,1,8,298,1.288,8.2,0.3,3.4,4.5,1.3,
3,Nick Durazo*,20,0,0,,5.17,11,0,,,0,1,15.2,15,11,9,0,8,0,8,6,0,4,75,1.468,8.6,0,4.6,4.6,1,
4,James Gray?,--,0,0,,13.5,3,0,,,0,0,1.1,3,2,2,0,0,0,3,0,0,0,7,2.25,20.3,0,0,20.3,,
5,Jeff Hoffman,21,3,3,0.5,2.94,10,10,,,0,0,67.1,53,26,22,4,20,0,72,5,0,8,278,1.084,7.1,0.5,2.7,9.6,3.6,
6,Davis Kirkpatrick,19,2,1,0.667,5.87,9,5,,,0,0,23,20,17,15,2,13,0,18,7,0,3,110,1.435,7.8,0.8,5.1,7,1.38,
7,Evan Kruczynski*,19,0,0,,18,3,0,,,0,0,1,3,2,2,0,1,0,1,2,0,1,9,4,27,0,9,9,1,
8,Reid Love*,22,5,3,0.625,3.02,16,13,,,2,0,80.1,73,35,27,3,20,0,40,8,0,1,336,1.158,8.2,0.3,2.2,4.5,2,
9,David Lucroy,21,2,6,0.25,4.75,14,12,,,0,0,53,47,29,28,0,29,0,34,7,1,3,235,1.434,8,0,4.9,5.8,1.17,
10,Brett Mabry,23,4,3,0.571,2.24,19,6,,,0,0,76.1,61,27,19,4,19,1,41,10,2,0,314,1.048,7.2,0.5,2.2,4.8,2.16,
11,Drew Reynolds?,--,4,2,0.667,2.16,20,0,,,0,5,25,18,8,6,1,7,1,24,4,0,3,104,1,6.5,0.4,2.5,8.6,3.43,
12,Brandon Taylor*,20,0,0,,0,1,0,,,0,0,0.2,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,13.5,,
13,Hayden White,20,0,0,,6.48,8,0,,,0,0,8.1,9,6,6,1,2,0,8,0,0,1,35,1.32,9.7,1.1,2.2,8.6,4,
14,Ryan Williams,22,11,3,0.786,1.81,32,0,,,0,7,99.2,88,27,20,1,11,2,76,5,0,3,395,0.993,7.9,0.1,1,6.9,6.91,
15,Jacob Wolfe?,--,0,0,,2.35,10,0,,,0,0,7.2,12,3,2,0,4,0,6,3,0,3,42,2.087,14.1,0,4.7,7,1.5,
,15 Players,21.3,,,,2.99,59,59,59,0,5,0,532.1,467,225,177,18,163,4,371,68,4,38,2256,1.183,7.9,0.3,2.8,6.3,2.28,
