Rk,Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,WHIP,H9,HR9,BB9,SO9,SO/W,Notes
1,Andrew Armstrong*,20,0,0,,8.03,16,0,,0,0,0,12.1,19,13,11,5,10,0,12,4,0,5,68,2.351,13.9,3.6,7.3,8.8,1.2,
2,David Barrett,21,0,0,,5.4,6,0,,0,0,0,3.1,3,2,2,0,1,0,2,1,0,2,14,1.2,8.1,0,2.7,5.4,2,
3,Jackson Baumeister,19,1,2,0.333,5.6,19,2,,0,0,0,27.1,23,17,17,3,20,0,41,3,0,3,126,1.573,7.6,1,6.6,13.5,2.05,
4,Joe Charles,22,0,0,,0,2,0,,0,0,0,1.1,0,0,0,0,1,0,2,0,0,0,5,0.75,0,0,6.8,13.5,2,
5,Wyatt Crowell*,20,6,1,0.857,2.12,28,0,,0,0,2,51,39,18,12,4,17,1,72,5,0,4,218,1.098,6.9,0.7,3,12.7,4.24,
6,Ross Dunn*,20,2,4,0.333,4.88,16,11,,0,0,0,48,42,38,26,6,26,1,77,9,0,7,222,1.417,7.9,1.1,4.9,14.4,2.96,
7,Davis Hare,23,1,4,0.2,3.72,25,0,,0,0,4,36.1,28,21,15,4,11,2,52,3,0,5,159,1.073,6.9,1,2.7,12.9,4.73,
8,Bryce Hubbart*,21,8,3,0.727,3.32,15,15,,0,0,0,76,67,33,28,11,21,0,96,12,1,3,330,1.158,7.9,1.3,2.5,11.4,4.57,
9,Dylan Jacobs,19,0,0,,16.2,5,0,,0,0,0,3.1,3,7,6,0,5,0,4,0,0,0,18,2.4,8.1,0,13.5,10.8,0.8,
10,Kyle McMullen,24,0,0,,3.6,8,0,,0,0,0,10,7,4,4,1,8,0,9,1,0,0,46,1.5,6.3,0.9,7.2,8.1,1.13,
11,Parker Messick*,21,7,5,0.583,3.38,16,16,,0,0,0,98.2,78,38,37,15,18,0,144,7,1,5,395,0.973,7.1,1.4,1.6,13.1,8,
12,Carson Montgomery,19,4,1,0.8,5,15,12,,0,0,1,54,50,35,30,7,23,0,62,11,0,4,246,1.352,8.3,1.2,3.8,10.3,2.7,
13,Jackson Nezuh,20,1,0,1,8.22,14,1,,0,0,0,15.1,18,18,14,3,12,2,15,3,0,2,81,1.957,10.6,1.8,7,8.8,1.25,
14,Jonah Scolaro*,23,2,3,0.4,3.25,28,2,,0,0,3,44.1,43,16,16,4,15,1,62,6,0,4,193,1.308,8.7,0.8,3,12.6,4.13,
15,Dylan Simmons,21,0,0,,12,17,0,,0,0,0,15,31,20,20,9,5,1,16,0,0,2,80,2.4,18.6,5.4,3,9.6,3.2,
16,Brandon Walker,21,0,0,,20.25,2,0,,0,0,0,1.1,5,3,3,0,4,0,2,0,0,0,13,6.75,33.8,0,27,13.5,0.5,
17,Conner Whittaker,19,2,2,0.5,2.48,21,0,,0,0,0,36.1,24,10,10,2,13,1,34,4,0,3,148,1.018,5.9,0.5,3.2,8.4,2.62,
,17 Players,20.7,34,25,0.576,4.23,59,59,59,0,4,10,534,480,293,251,74,210,9,702,69,2,49,2362,1.292,8.1,1.2,3.5,11.8,3.34,
