Rk,Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,WHIP,H9,HR9,BB9,SO9,SO/W,Notes
1,Philip Abner*,21,3,0,1,3.16,25,0,,0,0,3,31.1,26,15,11,2,19,1,51,3,0,5,141,1.436,7.5,0.6,5.5,14.6,2.68,
2,Chris Arroyo*,18,1,0,1,5.06,7,0,,0,0,0,5.1,2,3,3,0,7,0,6,0,0,1,25,1.688,3.4,0,11.8,10.1,0.86,
3,Jac Caglianone*,20,7,4,0.636,4.34,18,18,,0,0,0,74.2,51,40,36,6,55,0,87,14,0,10,342,1.42,6.1,0.7,6.6,10.5,1.58,
4,Nick Ficarrotta?,--,0,0,,4.99,21,0,,0,0,2,39.2,46,24,22,5,11,0,43,7,0,4,183,1.437,10.4,1.1,2.5,9.8,3.91,
5,Carsten Finnvold*,21,0,0,,36,1,0,,0,0,0,1,3,4,4,1,1,0,1,0,0,0,7,4,27,9,9,9,1,
6,Cade Fisher*,19,6,0,1,3.1,27,2,,0,0,2,49.1,51,19,17,2,13,1,48,7,0,2,218,1.297,9.3,0.4,2.4,8.8,3.69,
7,Clete Hartzog,22,1,0,1,8.53,7,1,,0,0,0,6.1,7,7,6,0,6,1,12,0,0,1,33,2.053,9.9,0,8.5,17.1,2,
8,Fisher Jameson,20,1,3,0.25,13.5,11,0,,0,0,0,12.2,22,20,19,4,7,0,15,0,0,2,66,2.289,15.6,2.8,5,10.7,2.14,
9,Brandon Neely,19,2,3,0.4,3.58,34,0,,0,0,13,55.1,46,26,22,6,22,4,72,5,1,1,239,1.229,7.5,1,3.6,11.7,3.27,
10,Tyler Nesbitt,21,1,0,1,2.96,11,3,,0,0,0,24.1,27,17,8,2,10,0,21,6,0,3,118,1.521,10,0.7,3.7,7.8,2.1,
11,Blake Purnell,21,2,0,1,9.28,17,0,,0,0,0,21.1,25,23,22,2,17,2,18,7,0,2,113,1.969,10.5,0.8,7.2,7.6,1.06,
12,Ryan Slater,21,10,1,0.909,4.22,27,3,,0,0,3,59.2,55,29,28,9,19,1,48,5,0,2,255,1.24,8.3,1.4,2.9,7.2,2.53,
13,Brandon Sproat,22,8,3,0.727,4.66,19,19,,2,1,0,106.1,87,57,55,15,48,3,134,17,1,7,466,1.27,7.4,1.3,4.1,11.3,2.79,
14,Yoel Tejeda,19,2,0,1,5.56,8,6,,0,0,0,22.2,26,17,14,5,12,0,11,2,0,2,107,1.676,10.3,2,4.8,4.4,0.92,
15,Anthony Ursitti,20,0,0,,20.25,3,0,,0,0,0,1.1,3,4,3,1,1,0,2,0,0,1,8,3,20.3,6.8,6.8,13.5,2,
16,Hurston Waldrep,21,10,3,0.769,4.16,19,19,,0,0,0,101.2,85,50,47,12,57,0,156,9,0,11,449,1.397,7.5,1.1,5,13.8,2.74,
,16 Players,20.4,54,17,0.761,4.65,71,71,69,2,8,23,613,562,355,317,72,305,13,725,82,2,54,2770,1.414,8.3,1.1,4.5,10.6,2.38,
