Rk,Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,WHIP,H9,HR9,BB9,SO9,SO/W,Notes
1,Hank Bearden?,--,2,1,0.667,12.41,9,2,,0,0,0,12.1,25,17,17,3,9,0,11,2,0,3,71,2.757,18.2,2.2,6.6,8,1.22,
2,Garrett Brown,22,0,1,0,7.71,12,10,,0,0,0,25.2,32,26,22,4,25,0,17,1,1,7,130,2.221,11.2,1.4,8.8,6,0.68,
3,Collin Caldwell*,21,1,0,1,13.5,16,0,,0,0,1,12.2,17,21,19,4,14,1,24,4,0,2,73,2.447,12.1,2.8,9.9,17.1,1.71,
4,Jonathan Cannon,21,9,4,0.692,4.02,13,13,,0,0,0,78.1,67,36,35,10,12,3,68,12,0,5,325,1.009,7.7,1.1,1.4,7.8,5.67,
5,Will Childers,21,0,0,,9,1,1,,0,0,0,1,1,1,1,1,0,0,2,0,0,0,4,1,9,9,0,18,,
6,Nolan Crisp,22,1,4,0.2,5.12,16,8,,0,0,0,45.2,53,30,26,11,14,2,41,2,0,1,204,1.467,10.4,2.2,2.8,8.1,2.93,
7,Max DeJong,20,1,0,1,2.61,11,0,,0,0,0,10.1,8,3,3,1,6,0,13,2,0,0,47,1.355,7,0.9,5.2,11.3,2.17,
8,Jack Gowen,22,2,0,1,2.39,25,0,,0,0,10,37.2,19,10,10,3,18,1,50,5,0,1,152,0.982,4.5,0.7,4.3,11.9,2.78,
9,Chandler Marsh,19,4,1,0.8,3.74,24,0,,0,0,0,33.2,23,17,14,4,25,2,44,8,0,10,154,1.426,6.1,1.1,6.7,11.8,1.76,
10,Shane Marshall,22,0,0,,0,2,0,,0,0,0,0.2,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,13.5,,
11,Bryce Melear,21,1,1,0.5,5.4,7,1,,0,0,0,11.2,14,7,7,1,5,0,15,5,1,0,56,1.629,10.8,0.8,3.9,11.6,3,
12,William Pearson,20,2,2,0.5,5.28,26,0,,0,0,0,30.2,39,19,18,4,8,1,20,3,0,3,136,1.533,11.4,1.2,2.3,5.9,2.5,
13,Jake Poindexter,19,0,0,,23.14,5,0,,0,0,0,4.2,9,12,12,1,9,2,7,1,0,3,33,3.857,17.4,1.9,17.4,13.5,0.78,
14,Michael Polk,21,0,2,0,9.62,17,0,,0,0,0,24.1,24,27,26,5,22,1,32,6,0,2,123,1.89,8.9,1.8,8.1,11.8,1.45,
15,Davis Rokose*,21,1,0,1,6.85,19,0,,0,0,0,22.1,22,18,17,0,19,1,20,3,0,4,107,1.836,8.9,0,7.7,8.1,1.05,
16,Dylan Ross,21,1,0,1,3,2,2,,0,0,0,6,6,2,2,0,4,0,6,1,0,0,29,1.667,9,0,6,9,1.5,
17,Liam Sullivan*,20,4,3,0.571,4.62,12,12,,0,0,0,48.2,50,25,25,10,20,1,51,5,0,7,215,1.438,9.2,1.8,3.7,9.4,2.55,
18,Luke Wagner*,20,5,3,0.625,6.15,19,4,,0,0,0,41,43,29,28,5,27,1,45,3,0,5,194,1.707,9.4,1.1,5.9,9.9,1.67,
19,Coleman Willis,19,1,0,1,9.35,14,5,,0,0,0,17.1,20,23,18,1,18,0,16,7,0,10,98,2.192,10.4,0.5,9.3,8.3,0.89,
20,Jaden Woods*,20,1,1,0.5,4.64,25,1,,0,0,3,54.1,46,32,28,12,33,2,80,8,0,6,247,1.454,7.6,2,5.5,13.3,2.42,
,20 Players,20.6,36,23,0.61,5.65,59,59,59,0,4,14,519,518,355,326,80,288,18,563,78,2,69,2400,1.553,9,1.4,5,9.8,1.95,
