Rk,Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,WHIP,H9,HR9,BB9,SO9,SO/W,Notes
1,Jack Armstrong,--,3,0,1,4.84,20,1,,0,0,0,35.1,28,21,19,5,26,1,39,6,0,1,166,1.528,7.1,1.3,6.6,9.9,1.5,
2,Brady Banker*,21,0,0,,6.1,8,0,,0,0,0,10.1,11,7,7,1,6,0,5,1,0,1,49,1.645,9.6,0.9,5.2,4.4,0.83,
3,Ty Brooks,19,3,5,0.375,6.51,17,11,,0,0,0,55.1,60,43,40,1,30,0,45,8,3,9,258,1.627,9.8,0.2,4.9,7.3,1.5,
4,Cole Chace,--,0,0,,12.71,5,0,,0,0,0,5.2,12,8,8,1,5,0,5,2,0,1,36,3,19.1,1.6,7.9,7.9,1,
5,Emil Estrella,25,0,0,,14.85,5,1,,0,0,0,6.2,8,11,11,2,10,0,6,5,1,2,42,2.7,10.8,2.7,13.5,8.1,0.6,
6,Ryan Karst,21,1,2,0.333,12.27,5,2,,0,0,0,7.1,13,10,10,2,6,0,6,3,0,1,42,2.591,16,2.5,7.4,7.4,1,
7,Zac Laird*,22,0,1,0,7.56,21,0,,0,0,0,16.2,20,16,14,0,19,3,24,7,0,4,94,2.34,10.8,0,10.3,13,1.26,
8,Wes Lyerly,--,0,0,,inf,1,0,,0,0,0,0,2,3,3,0,0,0,0,1,0,0,3,,,,,,,
9,Max McEwen,21,6,3,0.667,4.63,13,10,,0,0,0,58.1,50,35,30,3,31,0,64,10,0,6,268,1.389,7.7,0.5,4.8,9.9,2.06,
10,Gavin Morris,--,6,3,0.667,3.68,23,1,,0,0,4,58.2,49,24,24,3,21,1,50,4,0,2,244,1.193,7.5,0.5,3.2,7.7,2.38,
11,Colby Morse,22,2,3,0.4,6.68,18,2,,0,0,1,33.2,38,25,25,7,15,1,21,3,0,2,149,1.574,10.2,1.9,4,5.6,1.4,
12,Aaron Moss,22,1,1,0.5,8.46,15,1,,0,0,0,22.1,29,23,21,1,14,0,8,0,0,6,109,1.925,11.7,0.4,5.6,3.2,0.57,
13,Cole Pacheco,22,0,0,,6.75,2,0,,0,0,0,1.1,3,1,1,0,0,0,0,0,0,0,7,2.25,20.3,0,0,0,,
14,Grant Parson,20,2,4,0.333,5.2,9,9,,0,0,0,36.1,34,21,21,5,29,0,25,6,0,2,168,1.734,8.4,1.2,7.2,6.2,0.86,
15,Caden Schrader,--,0,0,,12.27,3,0,,0,0,0,3.2,6,5,5,1,3,0,3,1,0,4,20,2.455,14.7,2.5,7.4,7.4,1,
16,Carson Seeman,22,0,0,,8.07,19,0,,0,0,1,29,44,31,26,5,9,0,17,7,0,0,143,1.828,13.7,1.6,2.8,5.3,1.89,
17,Jacob Spencer,21,0,3,0,8.71,15,7,,0,0,0,31,42,30,30,5,8,0,17,7,0,5,147,1.613,12.2,1.5,2.3,4.9,2.13,
18,Breyllin Suriel,--,0,6,0,7.76,19,10,,0,0,1,53.1,60,55,46,13,34,0,47,6,0,12,255,1.763,10.1,2.2,5.7,7.9,1.38,
,18 Players,21.2,24,31,0.436,6.6,55,55,55,0,2,7,465,509,369,341,55,266,6,382,77,4,58,2200,1.667,9.9,1.1,5.1,7.4,1.44,
