Rk,Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,WHIP,H9,HR9,BB9,SO9,SO/W,Notes
1,Austin Bain,22,1,0,1,4.74,20,0,,0,0,0,24.2,21,13,13,0,19,0,32,3,0,5,115,1.622,7.7,0,6.9,11.7,1.68,
2,Matthew Beck,19,1,0,1,3.65,20,2,,0,0,0,24.2,14,11,10,3,11,0,21,3,0,2,100,1.014,5.1,1.1,4,7.7,1.91,
3,Nick Bush*,20,1,1,0.5,3.75,23,0,,0,0,0,24,20,11,10,1,19,1,22,0,0,2,110,1.625,7.5,0.4,7.1,8.3,1.16,
4,Blair Frederick*,19,0,0,,10.13,5,0,,0,0,0,2.2,3,3,3,1,5,0,3,0,0,2,16,3,10.1,3.4,16.9,10.1,0.6,
5,Caleb Gilbert,20,7,1,0.875,2.16,28,5,,0,0,3,58.1,40,17,14,5,12,0,67,1,1,5,225,0.891,6.2,0.8,1.9,10.3,5.58,
6,Zack Hess,20,7,1,0.875,3.12,30,6,,0,0,4,60.2,39,23,21,6,30,2,83,7,0,5,255,1.137,5.8,0.9,4.5,12.3,2.77,
7,Hunter Kiel,20,0,0,,18.47,10,0,,0,0,0,6.1,8,16,13,0,8,0,9,0,0,5,35,2.526,11.4,0,11.4,12.8,1.13,
8,Alex Lange,21,10,5,0.667,2.97,19,19,,4,2,0,124.1,106,43,41,10,48,7,150,5,0,10,522,1.239,7.7,0.7,3.5,10.9,3.13,
9,Hunter Newman,23,1,1,0.5,2.51,26,0,,0,0,10,28.2,20,9,8,1,20,6,27,5,0,2,130,1.395,6.3,0.3,6.3,8.5,1.35,
10,Doug Norman,21,0,0,,5.4,3,0,,0,0,0,3.1,4,2,2,0,1,0,3,1,0,0,16,1.5,10.8,0,2.7,8.1,3,
11,Todd Peterson,19,3,1,0.75,4.19,22,3,,0,0,0,34.1,32,17,16,2,16,0,21,1,1,4,150,1.398,8.4,0.5,4.2,5.5,1.31,
12,Jared Poche*,22,12,4,0.75,3.17,20,19,,1,1,0,113.2,99,51,40,14,39,2,76,6,0,7,475,1.214,7.8,1.1,3.1,6,1.95,
13,Will Reese,19,0,0,,4.05,7,0,,0,0,0,6.2,4,3,3,1,4,0,7,1,1,0,27,1.2,5.4,1.4,5.4,9.5,1.75,
14,Russell Reynolds,23,1,2,0.333,8.5,15,1,,0,0,0,18,22,17,17,4,14,0,14,0,0,4,84,2,11,2,7,7,1,
15,Collin Strall,22,0,2,0,4.61,12,0,,0,0,0,13.2,25,7,7,0,4,1,13,0,0,0,68,2.122,16.5,0,2.6,8.6,3.25,
16,Eric Walker,19,8,2,0.8,3.48,17,17,,1,1,0,95.2,83,38,37,12,23,2,78,12,1,2,393,1.108,7.8,1.1,2.2,7.3,3.39,
,16 Players,20.7,,,,3.59,0,0,0,0,10,0,639.2,540,281,255,60,273,21,626,45,4,55,2721,1.271,7.6,0.8,3.8,8.8,2.29,
