Rk,Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,WHIP,H9,HR9,BB9,SO9,SO/W,Notes
1,Sam Alvis*,21,0,2,0,4.71,17,0,,,0,1,21,23,15,11,2,13,0,21,1,0,3,99,1.714,9.9,0.9,5.6,9,1.62,
2,Ben Carlisle?,--,0,4,0,8.87,13,5,,,0,0,23.1,38,28,23,0,13,0,12,4,0,3,126,2.186,14.7,0,5,4.6,0.92,
3,Clark Carlisle?,--,0,0,,27,2,0,,,0,0,1.2,7,5,5,0,1,0,2,0,0,0,13,4.8,37.8,0,5.4,10.8,2,
4,Adam Derouen?,--,2,1,0.667,2.96,14,4,,,0,0,27.1,36,14,9,1,8,2,9,4,0,2,127,1.61,11.9,0.3,2.6,3,1.13,
5,Dakota Doss?,--,0,0,,6.5,19,0,,,0,0,18,17,13,13,2,10,2,13,4,0,0,85,1.5,8.5,1,5,6.5,1.3,
6,Caleb Dudley?,--,1,4,0.2,2.94,26,0,,,0,6,52,47,18,17,3,11,2,37,7,0,1,219,1.115,8.1,0.5,1.9,6.4,3.36,
7,James Ferguson*,22,2,3,0.4,4.64,20,6,,,0,0,54.1,65,32,28,5,26,2,36,5,2,3,255,1.675,10.8,0.8,4.3,6,1.38,
8,Laetten Galbraith,21,1,0,1,3.68,9,0,,,0,0,7.1,8,3,3,1,4,1,5,0,0,1,33,1.636,9.8,1.2,4.9,6.1,1.25,
9,Luke Giddens?,--,1,0,1,2.51,11,0,,,0,0,14.1,11,4,4,1,8,0,11,4,0,2,62,1.326,6.9,0.6,5,6.9,1.38,
10,Jamie Gilley?,--,1,3,0.25,5.85,19,1,,,0,1,40,40,28,26,6,20,0,36,2,1,4,177,1.5,9,1.4,4.5,8.1,1.8,
11,Phil Maton,20,6,6,0.5,2.7,15,14,,,0,0,96.2,75,32,29,2,30,0,89,13,0,4,406,1.086,7,0.2,2.8,8.3,2.97,
12,Richie Navari?,--,1,6,0.143,6.52,11,7,,,0,0,29,32,26,21,2,19,1,23,1,1,4,142,1.759,9.9,0.6,5.9,7.1,1.21,
13,Trevor Petersen,22,3,6,0.333,3.95,15,14,,,0,0,79.2,84,42,35,1,34,0,27,12,0,7,360,1.481,9.5,0.1,3.8,3.1,0.79,
14,Omar Ugarte,21,1,2,0.333,8.1,13,5,,,0,0,16.2,22,18,15,1,17,0,17,6,1,1,97,2.34,11.9,0.5,9.2,9.2,1,
15,Tucker Ward,21,0,0,,6.23,5,0,,,0,0,4.1,3,3,3,0,5,0,3,1,0,0,21,1.846,6.2,0,10.4,6.2,0.6,
,15 Players,21.2,,,,4.48,0,0,0,0,4,0,485.2,508,281,242,27,219,10,341,64,5,35,2222,1.497,9.4,0.5,4.1,6.3,1.56,
