Rk,Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,WHIP,H9,HR9,BB9,SO9,SO/W,Notes
1,Sam Bordner,19,1,0,1,4.15,16,0,,0,0,1,21.2,15,11,10,2,10,0,22,3,0,4,93,1.154,6.2,0.8,4.2,9.1,2.2,
2,Zack Burdi,21,1,3,0.25,3.3,27,0,,0,0,11,30,17,12,11,3,9,0,47,4,0,1,117,0.867,5.1,0.9,2.7,14.1,5.22,
3,Chandler Dale,20,0,0,,2.16,7,0,,0,0,0,8.1,4,2,2,1,7,0,4,0,0,1,35,1.32,4.3,1.1,7.6,4.3,0.57,
4,Kyle Funkhouser,22,9,3,0.75,3.86,16,15,,0,0,0,93.1,70,44,40,8,47,0,95,5,0,6,389,1.254,6.8,0.8,4.5,9.2,2.02,
5,Drew Harrington*,21,12,2,0.857,1.95,17,17,,0,0,0,110.2,92,25,24,3,25,0,92,10,1,2,443,1.057,7.5,0.2,2,7.5,3.68,
6,Lincoln Henzman,20,0,0,,4.5,20,0,,0,0,1,24,31,13,12,0,6,0,27,1,1,3,110,1.542,11.6,0,2.3,10.1,4.5,
7,Shane Hummel?,--,2,1,0.667,1.99,15,2,,0,0,2,31.2,22,11,7,3,8,0,17,4,0,2,127,0.947,6.3,0.9,2.3,4.8,2.13,
8,Anthony Kidston,23,1,0,1,2.63,14,0,,0,0,0,13.2,11,6,4,0,13,0,13,1,0,1,65,1.756,7.2,0,8.6,8.6,1,
9,Sean Leland,20,0,0,,3.24,1,0,,0,0,0,8.1,4,3,3,0,10,0,2,1,0,0,39,1.68,4.3,0,10.8,2.2,0.2,
10,Kade McClure,20,12,0,1,2.54,15,13,,0,0,0,78,49,24,22,1,20,0,77,8,1,3,306,0.885,5.7,0.1,2.3,8.9,3.85,
11,Brendan McKay*,20,12,4,0.75,2.3,17,17,,1,1,0,109.2,89,33,28,8,42,1,128,3,0,9,458,1.195,7.3,0.7,3.4,10.5,3.05,
12,Dylan Shoffner?,--,0,0,,2.45,8,0,,0,0,0,7.1,10,3,2,0,2,0,9,1,0,0,36,1.636,12.3,0,2.5,11,4.5,
13,Jake Sparger,22,0,1,0,5.12,19,0,,0,0,0,19.1,17,13,11,4,9,0,21,3,0,1,86,1.345,7.9,1.9,4.2,9.8,2.33,
14,Adam Wolf*,19,0,0,,1.38,15,0,,0,0,0,13,13,2,2,1,4,0,14,0,0,0,55,1.308,9,0.7,2.8,9.7,3.5,
,14 Players,20.7,,,,2.82,0,0,0,0,11,0,569,444,202,178,34,212,1,568,44,3,33,2359,1.153,7,0.5,3.4,9,2.68,
