Rk,Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,WHIP,H9,HR9,BB9,SO9,SO/W,Notes
1,Spencer Bodanza*,21,0,0,,3.6,5,0,,0,0,0,5,2,3,2,1,4,0,7,1,0,0,21,1.2,3.6,1.8,7.2,12.6,1.75,
2,Yordani Carmona*,19,0,0,,9,2,0,,0,0,0,2,4,2,2,0,1,0,1,0,0,0,10,2.5,18,0,4.5,4.5,1,
3,Slade Cecconi,21,2,1,0.667,3.8,4,4,,0,0,0,21.1,15,10,9,2,7,0,30,2,0,2,90,1.031,6.3,0.8,3,12.7,4.29,
4,Daniel Federman,21,0,1,0,2.08,7,0,,0,0,3,8.2,7,2,2,0,2,1,11,1,0,0,35,1.038,7.3,0,2.1,11.4,5.5,
5,Jake Garland,19,1,0,1,1.93,6,0,,0,0,0,9.1,7,2,2,0,5,0,12,0,0,1,39,1.286,6.8,0,4.8,11.6,2.4,
6,J.P. Gates*,20,1,0,1,0.82,9,0,,0,0,0,11,2,1,1,0,1,0,13,0,0,1,37,0.273,1.6,0,0.8,10.6,13,
7,Tyler Keysor,22,0,0,,5.87,8,0,,0,0,0,7.2,8,5,5,2,3,0,9,1,1,0,37,1.435,9.4,2.3,3.5,10.6,3,
8,Albert Maury,22,0,0,,7.36,5,0,,0,0,0,3.2,9,3,3,0,1,0,3,0,0,0,21,2.727,22.1,0,2.5,7.4,3,
9,Alex McFarlane,19,2,2,0.5,5.25,6,4,,0,0,0,12,13,7,7,2,9,0,14,2,0,2,60,1.833,9.8,1.5,6.8,10.5,1.56,
10,Chris McMahon,21,3,0,1,1.05,4,4,,0,0,0,25.2,19,3,3,0,5,1,38,2,0,3,100,0.935,6.7,0,1.8,13.3,7.6,
11,Alex Munroe*,19,0,0,,5.4,5,0,,0,0,0,3.1,4,4,2,1,1,0,5,0,0,1,16,1.5,10.8,2.7,2.7,13.5,5,
12,Carson Palmquist*,19,1,0,1,2.31,8,0,,0,0,0,11.2,6,4,3,0,5,0,15,1,0,0,47,0.943,4.6,0,3.9,11.6,3,
13,Alex Ruiz,21,0,0,,81,2,0,,0,0,0,0.1,1,4,3,1,1,0,1,1,1,1,5,6,27,27,27,27,1,
14,Brian Van Belle,23,2,0,1,0.68,4,4,,0,0,0,26.1,16,3,2,0,4,0,38,0,0,1,99,0.759,5.5,0,1.4,13,9.5,
,14 Players,20.6,12,4,0.75,2.8,16,16,16,0,2,0,148,113,53,46,9,49,2,197,11,2,12,617,1.095,6.9,0.5,3,12,4.02,
