Rk,Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,WHIP,H9,HR9,BB9,SO9,SO/W,Notes
1,Brett Adcock*,18,7,4,0.636,2.87,26,4,,,0,1,53.1,45,19,17,1,20,0,61,1,0,1,221,1.219,7.6,0.2,3.4,10.3,3.05,
2,Jake Balicki?,--,1,1,0.5,3.38,8,0,,,0,0,10.2,11,4,4,1,2,0,8,3,0,0,44,1.219,9.3,0.8,1.7,6.8,4,
3,Ben Ballantine,23,4,2,0.667,3.88,14,11,,,0,0,53.1,43,24,23,0,23,0,46,2,0,3,224,1.238,7.3,0,3.9,7.8,2,
4,James Bourque,20,2,2,0.5,4.24,25,1,,,0,1,40.1,38,22,19,1,24,0,33,6,0,6,190,1.537,8.5,0.2,5.4,7.4,1.38,
5,Jake Cronenworth,20,2,3,0.4,1.75,18,0,,,0,12,25.2,21,14,5,0,13,1,27,2,0,5,112,1.325,7.4,0,4.6,9.5,2.08,
6,Donnie Eaton,21,0,1,0,0.77,13,0,,,0,0,23.1,8,8,2,0,16,0,26,3,0,1,96,1.029,3.1,0,6.2,10,1.63,
7,Hector Gutierrez,20,0,0,,3.38,2,0,,,0,0,2.2,1,1,1,0,7,0,3,0,0,1,16,3,3.4,0,23.6,10.1,0.43,
8,Evan Hill*,20,5,6,0.455,3.24,16,15,,,0,1,89,80,37,32,2,28,0,63,7,7,6,372,1.213,8.1,0.2,2.8,6.4,2.25,
9,Alex Lakatos,22,0,0,,5.87,11,2,,,0,0,15.1,13,12,10,0,7,0,15,2,0,3,70,1.304,7.6,0,4.1,8.8,2.14,
10,Jackson Lamb,19,0,0,,2.84,4,0,,,0,0,6.1,5,2,2,0,4,0,7,0,0,1,29,1.421,7.1,0,5.7,9.9,1.75,
11,Keith Lehmann,19,3,1,0.75,2.92,21,2,,,0,0,49.1,50,16,16,2,12,0,32,5,1,8,209,1.257,9.1,0.4,2.2,5.8,2.67,
12,Mac Lozer,18,0,0,,2.76,23,0,,,0,0,16.1,12,6,5,2,9,0,16,2,0,5,71,1.286,6.6,1.1,5,8.8,1.78,
13,Logan McAnallen*,23,3,3,0.5,4.01,18,10,,,0,0,51.2,52,26,23,1,33,1,40,8,1,2,240,1.645,9.1,0.2,5.7,7,1.21,
14,Trent Szkutnik*,20,1,6,0.143,3.38,15,15,,,0,0,80,83,38,30,2,34,1,57,8,1,4,356,1.463,9.3,0.2,3.8,6.4,1.68,
15,Cam Wysocki,20,1,0,1,1.23,8,0,,,0,0,14.2,9,2,2,0,5,0,6,0,0,0,56,0.955,5.5,0,3.1,3.7,1.2,
,15 Players,20.2,,,,3.21,60,60,60,0,1,0,532,471,231,190,12,237,3,440,49,10,46,2306,1.331,8,0.2,4,7.4,1.86,
