Rk,Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,WHIP,H9,HR9,BB9,SO9,SO/W,Notes
1,Will Bednar,20,0,0,,1.76,4,1,,0,0,1,15.1,9,3,3,0,6,0,23,1,0,2,63,0.978,5.3,0,3.5,13.5,3.83,
2,Eric Cerantola,20,1,1,0.5,3.18,4,4,,0,0,0,17,17,9,6,0,11,0,22,2,0,8,79,1.647,9,0,5.8,11.6,2,
3,David Dunlavey,23,2,1,0.667,1.69,5,0,,0,0,0,10.2,8,5,2,0,8,0,11,1,0,3,48,1.5,6.8,0,6.8,9.3,1.38,
4,Jaxen Forrester,21,0,0,,2.57,7,0,,0,0,0,7,5,2,2,0,3,0,9,0,0,3,28,1.143,6.4,0,3.9,11.6,3,
5,J.T. Ginn,21,0,0,,6,1,1,,0,0,0,3,3,2,2,0,2,0,4,0,2,1,13,1.667,9,0,6,12,2,
6,Houston Harding*,22,1,0,1,2.79,2,2,,0,0,0,9.2,6,6,3,1,3,0,11,0,0,0,41,0.931,5.6,0.9,2.8,10.2,3.67,
7,K.C. Hunt,19,0,0,,16.2,1,1,,0,0,0,1.2,2,3,3,0,2,0,1,1,0,2,10,2.4,10.8,0,10.8,5.4,0.5,
8,Carlisle Koestler,24,0,1,0,4.42,5,3,,0,0,0,18.1,18,9,9,1,5,0,13,1,1,0,78,1.255,8.8,0.5,2.5,6.4,2.6,
9,Christian MacLeod*,20,4,0,1,0.86,4,4,,0,0,0,21,9,2,2,0,6,0,35,0,0,3,78,0.714,3.9,0,2.6,15,5.83,
10,Chase Patrick,21,2,0,1,4.5,4,0,,0,0,0,6,4,3,3,1,3,0,7,0,0,0,23,1.167,6,1.5,4.5,10.5,2.33,
11,Spencer Price?,--,0,0,,0,8,0,,0,0,2,7.1,1,0,0,0,1,0,10,0,0,0,24,0.273,1.2,0,1.2,12.3,10,
12,Riley Self,22,1,0,1,1.17,7,0,,0,0,0,7.2,3,3,1,0,1,0,7,2,0,0,31,0.522,3.5,0,1.2,8.2,7,
13,Jared Shemper*,21,0,1,0,8.31,5,0,,0,0,1,4.1,6,5,4,0,3,0,4,0,0,1,21,2.077,12.5,0,6.2,8.3,1.33,
14,Landon Sims,19,1,0,1,3.46,7,0,,0,0,0,13,5,6,5,1,7,0,23,3,0,3,57,0.923,3.5,0.7,4.8,15.9,3.29,
,14 Players,21.1,12,4,0.75,2.85,16,16,16,0,1,0,142,96,58,45,4,61,0,180,11,3,26,594,1.106,6.1,0.3,3.9,11.4,2.95,
