Rk,Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,WHIP,H9,HR9,BB9,SO9,SO/W,Notes
1,Luke Bublitz?,--,0,0,,12.46,7,0,,,0,0,4.1,7,6,6,0,5,1,1,1,0,0,25,2.769,14.5,0,10.4,2.1,0.2,
2,Aaron Bummer*,20,7,5,0.583,3.34,15,15,,,0,0,89,92,49,33,2,35,1,56,5,0,5,397,1.427,9.3,0.2,3.5,5.7,1.6,
3,Derek Burkamper,19,0,1,0,8.59,5,1,,,0,0,7.1,14,8,7,0,1,0,3,1,0,0,36,2.045,17.2,0,1.2,3.7,3,
4,Jeff Chesnut?,--,0,1,0,3.24,15,0,,,0,0,16.2,22,11,6,0,15,0,7,1,0,4,88,2.22,11.9,0,8.1,3.8,0.47,
5,Austin Christensen*,21,3,0,1,4.95,11,3,,,0,0,20,20,12,11,0,4,0,11,1,0,2,84,1.2,9,0,1.8,5,2.75,
6,Christian Cox*,22,0,0,,5.4,2,0,,,0,0,1.2,1,1,1,0,3,0,1,0,0,0,9,2.4,5.4,0,16.2,5.4,0.33,
7,Christian DeLeon,22,5,2,0.714,2.46,11,11,,,0,0,80.1,71,25,22,4,16,0,39,3,1,1,318,1.083,8,0.4,1.8,4.4,2.44,
8,Bob Greco?,--,3,2,0.6,3.63,26,0,,,0,1,39.2,38,16,16,2,14,0,32,4,1,2,169,1.311,8.6,0.5,3.2,7.3,2.29,
9,Zach Hirsch*,23,5,2,0.714,1.72,31,0,,,0,4,52.1,36,12,10,1,14,0,50,2,0,2,205,0.955,6.2,0.2,2.4,8.6,3.57,
10,Jake Hohensee,20,0,3,0,5.08,18,3,,,0,0,28.1,30,20,16,1,18,0,22,4,0,3,137,1.694,9.5,0.3,5.7,7,1.22,
11,Colton Howell,20,1,0,1,4.12,11,0,,,0,0,19.2,24,12,9,0,10,0,18,1,0,1,93,1.729,11,0,4.6,8.2,1.8,
12,Tyler King*,22,0,0,,36,4,0,,,0,0,2,3,8,8,1,6,0,1,2,0,0,16,4.5,13.5,4.5,27,4.5,0.17,
13,Max Knutson*,19,0,0,,5.06,6,0,,,0,0,5.1,11,4,3,0,1,0,3,1,0,0,30,2.25,18.6,0,1.7,5.1,3,
14,Kyle Kubat*,21,5,2,0.714,4.55,12,12,,,0,0,57.1,57,32,29,3,22,0,34,7,1,1,248,1.378,8.9,0.5,3.5,5.3,1.55,
15,Ben Miller*,19,0,1,0,10.8,5,1,,,0,0,8.1,14,10,10,2,2,0,5,2,0,1,41,1.92,15.1,2.2,2.2,5.4,2.5,
16,Josh Roeder,21,3,1,0.75,3.1,22,0,,,0,12,20.1,22,7,7,1,6,1,21,0,0,3,88,1.377,9.7,0.4,2.7,9.3,3.5,
17,Chance Sinclair?,--,9,1,0.9,2.15,16,16,,,0,0,100.2,87,37,24,1,26,0,52,3,1,3,414,1.123,7.8,0.1,2.3,4.6,2,
,17 Players,21,,,,3.5,62,62,62,0,1,0,553.1,549,270,215,18,198,3,356,38,4,28,2398,1.35,8.9,0.3,3.2,5.8,1.8,
