Rk,Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,WHIP,H9,HR9,BB9,SO9,SO/W,Notes
1,Breck Ashdown?,--,0,0,,0,2,0,,,0,0,1.1,2,1,0,0,1,0,0,0,0,0,7,2.25,13.5,0,6.8,0,0,
2,Pat Connaughton,20,4,2,0.667,1.71,10,10,,,0,0,47.1,49,12,9,0,28,0,29,1,0,5,214,1.627,9.3,0,5.3,5.5,1.04,
3,Sean Fitzgerald,21,5,4,0.556,4.89,18,14,,,0,1,73.2,83,45,40,4,20,1,43,7,0,9,323,1.398,10.1,0.5,2.4,5.3,2.15,
4,Connor Hale,19,1,0,1,5.59,8,1,,,0,0,9.2,10,9,6,1,6,0,7,1,0,2,47,1.655,9.3,0.9,5.6,6.5,1.17,
5,David Hearne?,--,1,2,0.333,4.7,21,8,,,0,0,44,43,23,23,2,14,0,36,5,2,5,194,1.295,8.8,0.4,2.9,7.4,2.57,
6,Michael Hearne*,19,0,0,,8.44,5,0,,,0,0,5.1,6,5,5,2,1,0,5,0,0,1,22,1.313,10.1,3.4,1.7,8.4,5,
7,Donnie Hissa,21,1,1,0.5,5.22,24,1,,,0,2,39.2,58,33,23,2,14,1,33,2,1,2,193,1.815,13.2,0.5,3.2,7.5,2.36,
8,Zak Kutsulis*,--,0,1,0,2.25,12,2,,,0,0,28,23,9,7,1,6,1,15,3,0,1,112,1.036,7.4,0.3,1.9,4.8,2.5,
9,Nick McCarty,19,5,4,0.556,5.2,29,1,,,0,1,62.1,63,39,36,3,18,1,33,10,1,2,270,1.299,9.1,0.4,2.6,4.8,1.83,
10,Adam Norton?,--,10,5,0.667,2.4,16,16,,,3,0,116.1,125,41,31,6,15,2,70,13,0,0,494,1.203,9.7,0.5,1.2,5.4,4.67,
11,Dan Slania,21,3,1,0.75,1.21,24,0,,,0,13,59.1,47,12,8,0,11,2,43,3,0,4,240,0.978,7.1,0,1.7,6.5,3.91,
12,Matt Ternowchek?,--,4,4,0.5,6.32,14,5,,,0,0,37,38,26,26,3,12,0,25,5,0,5,163,1.351,9.2,0.7,2.9,6.1,2.08,
13,Cristian Torres,20,0,0,,12.46,8,0,,,0,0,4.1,2,6,6,0,6,1,3,0,0,0,21,1.846,4.2,0,12.5,6.2,0.5,
,13 Players,20.3,,,,3.75,0,0,0,0,4,0,528.1,549,261,220,24,152,9,342,50,4,36,2300,1.327,9.4,0.4,2.6,5.8,2.25,
