Rk,Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,WHIP,H9,HR9,BB9,SO9,SO/W,Notes
1,Ben Abram,23,8,3,0.727,6.21,18,14,,0,0,0,71,91,49,49,19,22,0,76,6,2,5,323,1.592,11.5,2.4,2.8,9.6,3.45,
2,Carson Benge,20,2,2,0.5,6.69,10,10,,0,0,0,35,38,26,26,4,24,0,35,5,0,4,167,1.771,9.8,1,6.2,9,1.46,
3,Michael Benzor*,19,0,0,,9.82,13,0,,0,0,0,7.1,15,12,8,2,5,0,13,0,0,2,42,2.727,18.4,2.5,6.1,16,2.6,
4,Drew Blake*,20,1,0,1,5.46,28,2,,0,0,0,28,26,19,17,2,15,0,27,3,1,1,129,1.464,8.4,0.6,4.8,8.7,1.8,
5,Ryan Bogusz,22,1,1,0.5,2.6,9,1,,0,0,0,17.1,25,5,5,3,5,0,11,0,1,0,79,1.731,13,1.6,2.6,5.7,2.2,
6,Gabe Davis,19,1,2,0.333,7.92,22,0,,0,0,1,25,29,22,22,8,19,0,40,2,0,2,121,1.92,10.4,2.9,6.8,14.4,2.11,
7,Brian Hendry,23,2,1,0.667,6.63,16,5,,0,0,0,36.2,43,30,27,6,14,0,51,2,0,1,167,1.555,10.6,1.5,3.4,12.5,3.64,
8,Brant Hogue*,21,0,0,,0,3,0,,0,0,0,0.2,2,0,0,0,1,0,0,0,0,0,5,4.5,27,0,13.5,0,0,
9,Janzen Keisel,20,0,0,,7.85,9,4,,0,0,0,18.1,15,16,16,4,19,0,34,2,0,5,92,1.855,7.4,2,9.3,16.7,1.79,
10,Nolan McLean,21,1,2,0.333,3.3,14,3,,0,0,6,30,30,14,11,0,17,1,34,4,0,3,141,1.567,9,0,5.1,10.2,2,
11,Evan O'Toole,21,6,1,0.857,4.99,22,0,,0,0,0,39.2,47,27,22,6,15,0,28,2,0,2,178,1.563,10.7,1.4,3.4,6.4,1.87,
12,Brennan Phillips*,20,2,1,0.667,9.69,10,6,,0,0,0,26,34,29,28,6,12,0,22,4,0,2,126,1.769,11.8,2.1,4.2,7.6,1.83,
13,Dominick Reid,19,0,0,,2.25,3,0,,0,0,0,4,3,1,1,0,4,0,2,0,0,0,17,1.75,6.8,0,9,4.5,0.5,
14,Bayden Root,24,7,1,0.875,4.34,20,1,,0,0,1,37.1,32,23,18,1,16,0,40,8,0,4,162,1.286,7.7,0.2,3.9,9.6,2.5,
15,Kade Shatwell,20,0,0,,10.13,3,0,,0,0,0,2.2,4,3,3,1,2,0,3,0,0,0,14,2.25,13.5,3.4,6.8,10.1,1.5,
16,Isaac Stebens,21,4,1,0.8,2.24,28,0,,0,0,6,64.1,49,22,16,1,24,2,85,5,0,2,265,1.135,6.9,0.1,3.4,11.9,3.54,
17,Riley Taylor,23,0,0,,9,1,0,,0,0,0,2,3,2,2,1,1,0,2,0,0,1,10,2,13.5,4.5,4.5,9,2,
18,Juaron Watts-Brown,21,6,5,0.545,5.03,17,15,,0,0,0,82.1,68,52,46,11,48,2,124,10,1,15,376,1.409,7.4,1.2,5.2,13.6,2.58,
,18 Players,21.1,41,20,0.672,5.41,61,61,61,0,2,14,527.2,554,352,317,75,263,5,627,53,5,49,2414,1.548,9.4,1.3,4.5,10.7,2.38,
