Rk,Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,WHIP,H9,HR9,BB9,SO9,SO/W,Notes
1,Brady Bramlett,22,8,3,0.727,3.17,16,16,,0,0,0,82.1,79,31,29,6,23,0,96,4,0,1,351,1.239,8.6,0.7,2.5,10.5,4.17,
2,Brian Browning*,21,0,0,,9,4,0,,0,0,0,3,3,3,3,0,4,0,2,0,0,4,16,2.333,9,0,12,6,0.5,
3,Matt Denny*,22,0,1,0,9,9,0,,0,0,0,6,9,8,6,0,4,0,6,0,0,2,30,2.167,13.5,0,6,9,1.5,
4,Brady Feigl,20,4,0,1,3.76,26,0,,0,0,0,40.2,44,23,17,0,14,0,39,5,0,1,184,1.426,9.7,0,3.1,8.6,2.79,
5,Connor Green,19,0,0,,2.73,20,0,,0,0,0,33,26,15,10,1,19,2,37,4,0,3,149,1.364,7.1,0.3,5.2,10.1,1.95,
6,Sean Johnson,21,3,1,0.75,4.96,10,9,,0,0,0,32.2,38,22,18,4,18,0,18,1,1,4,150,1.714,10.5,1.1,5,5,1,
7,Andrew Lowe,19,0,0,,3,8,0,,0,0,0,9,4,5,3,0,7,0,8,2,0,0,40,1.222,4,0,7,8,1.14,
8,James McArthur,19,6,1,0.857,4.26,15,12,,0,0,0,61.1,66,30,29,6,20,0,61,6,1,4,270,1.402,9.7,0.9,2.9,9,3.05,
9,Andy Pagnozzi,19,8,2,0.8,3.31,22,3,,0,0,1,49,44,23,18,0,9,0,39,3,0,2,203,1.082,8.1,0,1.7,7.2,4.33,
10,David Parkinson*,20,5,3,0.625,2.78,22,9,,0,0,0,68,74,27,21,6,24,2,50,3,0,2,290,1.441,9.8,0.8,3.2,6.6,2.08,
11,Wyatt Short*,21,2,3,0.4,2.9,22,1,,0,0,11,40.1,38,16,13,3,10,1,31,3,0,2,164,1.19,8.5,0.7,2.2,6.9,3.1,
12,Chad Smith,21,4,4,0.5,4.22,15,12,,0,0,0,59.2,64,33,28,2,39,0,62,6,2,9,286,1.726,9.7,0.3,5.9,9.4,1.59,
13,Will Stokes,20,2,1,0.667,2.93,30,0,,0,0,7,43,37,17,14,4,7,1,40,2,0,3,173,1.023,7.7,0.8,1.5,8.4,5.71,
14,Dallas Woolfolk,19,1,0,1,2.55,18,0,,0,0,1,17.2,20,8,5,0,8,2,8,0,2,5,79,1.585,10.2,0,4.1,4.1,1,
,14 Players,20.2,,,,3.53,0,0,0,0,2,0,545.2,546,261,214,32,206,8,497,39,6,42,2385,1.378,9,0.5,3.4,8.2,2.41,
