Rk,Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,WHIP,H9,HR9,BB9,SO9,SO/W,Notes
1,Clay Bauer,20,0,0,,5.4,1,1,,,0,0,1.2,1,1,1,0,2,0,1,0,0,1,8,1.8,5.4,0,10.8,5.4,0.5,
2,Matthew Boyd*,22,11,4,0.733,2.04,20,18,,,3,1,132.2,92,33,30,5,33,1,122,9,0,2,524,0.942,6.2,0.3,2.2,8.3,3.7,
3,Cole Brocker,23,1,0,1,3.86,14,0,,,0,0,11.2,15,6,5,0,1,0,11,1,0,4,53,1.371,11.6,0,0.8,8.5,11,
4,Tony Bryant,22,1,0,1,1.76,21,0,,,0,1,30.2,16,9,6,0,14,1,28,3,0,2,124,0.978,4.7,0,4.1,8.2,2,
5,Dan Child,20,4,1,0.8,3.29,12,9,,,0,0,38.1,36,20,14,1,16,1,28,7,0,4,171,1.357,8.5,0.2,3.8,6.6,1.75,
6,Dylan Davis,19,0,0,,13.5,2,1,,,0,0,2,5,3,3,0,3,0,1,0,0,1,13,4,22.5,0,13.5,4.5,0.33,
7,Max Engelbrekt*,19,5,1,0.833,1.3,22,0,,,0,5,27.2,21,5,4,0,10,2,20,1,0,1,113,1.12,6.8,0,3.3,6.5,2,
8,Jace Fry*,19,0,1,0,4.7,6,0,,,0,0,7.2,6,4,4,0,2,0,2,1,0,0,31,1.043,7,0,2.3,2.3,1,
9,Ben Holmes*,21,10,1,0.909,2.44,16,16,,,1,0,96,84,34,26,3,32,0,83,6,0,4,394,1.208,7.9,0.3,3,7.8,2.59,
10,Brandon Jackson,21,4,1,0.8,2.48,19,0,,,0,1,29,27,11,8,3,11,1,21,2,0,3,121,1.31,8.4,0.9,3.4,6.5,1.91,
11,Andrew Moore,19,14,2,0.875,1.79,19,18,,,3,1,131,93,33,26,4,28,1,72,11,0,6,508,0.924,6.4,0.3,1.9,4.9,2.57,
12,Tyler Painton*,21,0,0,,2.4,11,0,,,0,0,15,7,5,4,0,6,1,10,4,0,1,59,0.867,4.2,0,3.6,6,1.67,
13,Zack Reser*,--,0,0,,6.23,7,0,,,0,0,4.1,3,3,3,0,3,0,4,1,0,1,19,1.385,6.2,0,6.2,8.3,1.33,
14,Scott Schultz,21,2,1,0.667,2.28,27,0,,,0,10,43.1,32,18,11,1,8,1,34,4,0,2,178,0.923,6.6,0.2,1.7,7.1,4.25,
15,Taylor Starr?,24,0,1,0,3.94,10,2,,,0,0,16,19,11,7,0,5,1,10,4,0,7,73,1.5,10.7,0,2.8,5.6,2,
,15 Players,20.8,,,,2.33,0,0,0,0,12,0,587,457,196,152,17,174,10,447,54,0,39,2389,1.075,7,0.3,2.7,6.9,2.57,
