Rk,Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,WHIP,H9,HR9,BB9,SO9,SO/W,Notes
1,Evan Beal,20,0,1,0,3.29,5,4,,,0,0,13.2,12,5,5,0,4,0,8,0,0,1,56,1.171,7.9,0,2.6,5.3,2,
2,Curt Britt,21,3,0,1,2.35,8,2,,,0,0,23,22,6,6,2,11,0,19,1,0,2,101,1.435,8.6,0.8,4.3,7.4,1.73,
3,Wil Crowe,19,8,3,0.727,2.75,15,15,,,1,0,91.2,76,32,28,2,19,0,59,6,0,1,365,1.036,7.5,0.2,1.9,5.8,3.11,
4,Vince Fiori*,21,1,0,1,1.37,17,0,,,0,0,19.2,14,5,3,0,10,0,18,3,0,2,86,1.22,6.4,0,4.6,8.2,1.8,
5,Trey McNickle,21,0,0,,0,2,0,,,0,0,1.1,1,0,0,0,1,0,0,0,0,0,6,1.5,6.8,0,6.8,0,0,
6,Cody Mincey,22,5,0,1,1.04,29,0,,,0,1,34.2,20,4,4,0,17,1,44,7,0,1,146,1.067,5.2,0,4.4,11.4,2.59,
7,Jordan Montgomery*,21,8,5,0.615,3.42,16,16,,,0,0,100,93,45,38,7,29,0,95,2,1,2,419,1.22,8.4,0.6,2.6,8.6,3.28,
8,John Parke*,19,0,0,,0,4,0,,,0,0,3.1,1,0,0,0,2,0,3,0,0,0,12,0.9,2.7,0,5.4,8.1,1.5,
9,Hunter Privette?,--,1,0,1,0,10,0,,,0,0,10.1,3,0,0,0,3,0,5,0,0,1,37,0.581,2.6,0,2.6,4.4,1.67,
10,Josh Reagan*,19,3,0,1,0.36,14,1,,,0,0,25.1,25,3,1,0,4,0,21,3,0,0,108,1.145,8.9,0,1.4,7.5,5.25,
11,Reed Scott?,--,2,0,1,1.94,14,3,,,0,0,41.2,34,11,9,0,8,1,31,2,0,0,164,1.008,7.3,0,1.7,6.7,3.88,
12,Joel Seddon,21,3,2,0.6,1.66,27,1,,,0,15,48.2,37,10,9,1,12,3,59,1,0,4,191,1.007,6.8,0.2,2.2,10.9,4.92,
13,Matt Vogel,18,0,1,0,6.91,8,2,,,0,0,14.1,12,13,11,1,11,0,15,4,0,2,72,1.605,7.5,0.6,6.9,9.4,1.36,
14,Taylor Widener,19,3,0,1,1.79,21,2,,,0,0,40.1,24,9,8,2,15,0,38,2,1,0,161,0.967,5.4,0.4,3.3,8.5,2.53,
15,Jack Wynkoop*,20,7,6,0.538,2.86,17,16,,,0,0,88,94,40,28,6,10,0,58,5,2,3,371,1.182,9.6,0.6,1,5.9,5.8,
,15 Players,20.3,,,,2.43,62,62,62,0,13,0,556,468,183,150,21,156,5,473,36,4,19,2295,1.122,7.6,0.3,2.5,7.7,3.03,
