Rk,Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,WHIP,H9,HR9,BB9,SO9,SO/W,Notes
1,Matt Adams,24,6,4,0.6,4.31,18,17,,1,1,0,79.1,78,39,38,9,22,0,89,8,0,7,341,1.261,8.8,1,2.5,10.1,4.05,
2,Colby Allen,22,7,4,0.636,3.63,29,2,,0,0,12,67,53,30,27,7,17,1,77,4,1,4,276,1.045,7.1,0.9,2.3,10.3,4.53,
3,JW Armistead,--,0,0,,0,2,0,,0,0,0,2,0,0,0,0,2,0,1,0,0,0,8,1,0,0,9,4.5,0.5,
4,Chandler Best*,23,1,1,0.5,4.91,21,0,,0,0,0,18.1,22,11,10,3,10,0,18,2,0,1,87,1.745,10.8,1.5,4.9,8.8,1.8,
5,Cal Culpepper,20,0,0,,10.38,4,0,,0,0,0,4.1,7,5,5,0,3,0,1,0,0,2,22,2.308,14.5,0,6.2,2.1,0.33,
6,McCarty English,20,0,1,0,22.5,5,1,,0,0,0,2,7,8,5,2,7,0,3,2,0,1,23,7,31.5,9,31.5,13.5,0.43,
7,Ben Flowers*,23,0,0,,18,1,0,,0,0,0,1,3,2,2,0,1,0,1,0,0,0,7,4,27,0,9,9,1,
8,Michael Fowler,22,0,0,,9.39,10,0,,0,0,0,7.2,10,11,8,0,8,0,9,2,0,3,43,2.348,11.7,0,9.4,10.6,1.13,
9,Grayden Harris*,--,5,3,0.625,3.39,16,15,,0,0,0,58.1,63,32,22,1,25,0,46,10,0,1,272,1.509,9.7,0.2,3.9,7.1,1.84,
10,Ty Long,20,1,0,1,7,6,2,,0,0,0,9,14,7,7,2,2,0,6,0,0,0,40,1.778,14,2,2,6,3,
11,JB Middleton,21,10,1,0.909,2.31,16,16,,1,0,0,105.1,65,28,27,8,25,0,122,11,1,4,415,0.854,5.6,0.7,2.1,10.4,4.88,
12,Josh Och,20,2,0,1,4.71,24,0,,0,0,1,36.1,24,20,19,3,22,0,41,10,0,3,161,1.266,5.9,0.7,5.4,10.2,1.86,
13,Landen Payne,22,2,1,0.667,2.76,20,0,,0,0,5,32.2,26,13,10,5,6,0,47,3,0,3,133,0.98,7.2,1.4,1.7,12.9,7.83,
14,Cole Richardson,19,0,0,,19.29,3,0,,0,0,0,2.1,6,5,5,1,2,0,1,1,0,1,16,3.429,23.1,3.9,7.7,3.9,0.5,
15,Kros Sivley*,21,7,1,0.875,4.14,22,8,,0,0,0,71.2,73,39,33,9,20,0,58,10,0,2,310,1.298,9.2,1.1,2.5,7.3,2.9,
16,Camden Sunstrom,--,3,0,1,4,17,2,,0,0,0,27,32,13,12,1,11,1,18,2,0,0,122,1.593,10.7,0.3,3.7,6,1.64,
17,Micah Wascom,--,0,0,,7.94,6,0,,0,0,0,5.2,4,5,5,2,5,0,5,2,0,0,28,1.588,6.4,3.2,7.9,7.9,1,
18,Brooks Willoughby*,--,3,0,1,5.03,17,0,,0,0,1,19.2,18,11,11,3,9,2,22,4,1,1,91,1.373,8.2,1.4,4.1,10.1,2.44,
,18 Players,21.7,47,16,0.746,4.03,63,63,61,2,4,19,549.2,505,279,246,56,197,4,565,71,3,33,2395,1.277,8.3,0.9,3.2,9.3,2.87,
