Rk,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,Notes
1,Daniel Bakst,20,22,54,49,7,10,5,0,0,4,1,0,5,9,0.204,0.278,0.306,0.584,15,,0,0,0,0,
2,Brendan Beck,19,22,7,7,1,2,0,0,0,2,0,0,0,1,0.286,0.286,0.286,0.571,2,,0,0,0,0,
3,Nick Bellafronto,21,2,1,0,1,0,0,0,0,0,0,0,1,0,,1,,,0,,0,0,0,0,
4,Beau Branton,22,53,201,170,36,60,6,1,1,22,2,3,19,28,0.353,0.431,0.418,0.848,71,,5,6,1,0,
5,Nick Brueser,19,31,50,44,9,9,2,0,0,2,1,0,3,14,0.205,0.3,0.25,0.55,11,,3,0,0,0,
6,Bryce Carter*,22,26,67,58,5,10,4,1,0,4,0,0,9,12,0.172,0.284,0.276,0.559,16,,0,0,0,0,
7,Andrew Daschbach,20,58,246,216,42,62,10,1,17,63,4,3,18,60,0.287,0.358,0.579,0.936,125,,8,0,4,1,
8,Matt Decker,23,12,17,14,4,3,1,0,0,2,0,0,0,3,0.214,0.313,0.286,0.598,4,,2,1,0,0,
9,Maverick Handley,20,44,180,143,31,33,9,1,2,23,3,2,20,27,0.231,0.362,0.35,0.711,50,,11,3,3,0,
10,Nico Hoerner,21,57,258,232,45,80,17,6,2,40,15,4,20,22,0.345,0.391,0.496,0.887,115,,1,0,5,4,
11,Jesse Kuet,--,35,110,94,11,17,1,0,0,11,1,1,8,14,0.181,0.278,0.191,0.469,18,,5,2,1,0,
12,William Matthiessen,20,32,99,82,21,24,2,1,7,23,1,0,13,27,0.293,0.414,0.598,1.012,49,,4,0,0,0,
13,Christian Molfetta,21,35,103,85,15,16,4,0,1,7,1,1,12,21,0.188,0.317,0.271,0.587,23,,4,2,0,0,
14,Nick Oar,21,14,17,12,5,4,0,0,3,5,0,0,4,3,0.333,0.529,1.083,1.613,13,,1,0,0,1,
15,Christian Robinson*,18,34,99,88,14,22,9,2,0,17,1,1,8,30,0.25,0.303,0.398,0.701,35,,0,0,3,0,
16,Kyle Stowers*,20,58,243,206,39,59,10,3,10,42,6,3,30,50,0.286,0.383,0.51,0.892,105,,4,0,3,2,
17,Tim Tawa,19,58,255,223,44,66,18,3,7,41,7,5,15,57,0.296,0.347,0.498,0.845,111,,4,10,3,1,
18,Alec Wilson*,21,49,133,114,21,31,6,1,1,15,8,3,13,24,0.272,0.349,0.368,0.717,42,,1,4,1,0,
19,Brandon Wulff,21,32,119,99,21,30,5,1,4,20,1,0,17,28,0.303,0.42,0.495,0.915,49,,3,0,0,0,
,19 Players,20.3,0,2259,1936,372,538,109,21,55,343,52,26,215,430,0.278,0.363,0.441,0.804,854,0,56,28,24,9,
