Rk,Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,WHIP,H9,HR9,BB9,SO9,SO/W,Notes
1,Jaden Bruno,22,0,0,,4.15,4,0,,0,0,0,4.1,5,2,2,1,2,0,5,1,0,1,20,1.615,10.4,2.1,4.2,10.4,2.5,
2,Nick Dugan,20,3,4,0.429,6.49,18,10,,0,0,3,69.1,84,53,50,9,29,0,60,10,0,4,323,1.63,10.9,1.2,3.8,7.8,2.07,
3,Nate Fleischli,23,0,0,,20.65,6,1,,0,0,0,5.2,9,14,13,2,5,0,3,4,0,3,36,2.471,14.3,3.2,7.9,4.8,0.6,
4,Aidan Keenan,19,0,1,0,6.75,5,2,,0,0,1,6.2,4,5,5,1,10,0,7,2,0,1,35,2.1,5.4,1.4,13.5,9.5,0.7,
5,Christian Lim*,19,4,6,0.4,4.32,14,14,,0,0,0,77,66,37,37,6,36,0,86,9,1,5,331,1.325,7.7,0.7,4.2,10.1,2.39,
6,Trevor Moore,20,3,1,0.75,6,28,1,,0,0,1,57,71,43,38,6,24,1,57,3,1,2,270,1.667,11.2,0.9,3.8,9,2.38,
7,Gavin Nalu*,20,0,0,,20.25,2,0,,0,0,0,1.1,1,3,3,0,3,0,1,2,0,0,10,3,6.8,0,20.3,6.8,0.33,
8,Toran O'Harran,20,2,4,0.333,5.26,24,1,,0,0,7,39.1,33,23,23,7,29,1,50,3,1,5,182,1.576,7.6,1.6,6.6,11.4,1.72,
9,Ben Reimers,19,3,1,0.75,11.76,22,0,,0,0,0,33.2,47,44,44,10,24,0,30,4,2,1,173,2.109,12.6,2.7,6.4,8,1.25,
10,Charlie Saum,20,0,0,,0,1,0,,0,0,0,0.1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,27,,
11,Matt Scott,20,4,10,0.286,5.96,16,15,,0,0,0,80,73,60,53,11,36,0,103,6,0,8,356,1.363,8.2,1.2,4.1,11.6,2.86,
12,Ryan Speshyock,19,0,4,0,7.53,17,5,,0,0,0,34.2,32,34,29,5,27,0,36,12,0,9,175,1.702,8.3,1.3,7,9.3,1.33,
13,Kassius Thomas,20,1,1,0.5,9.31,23,0,,0,0,0,29,36,36,30,3,27,0,25,12,1,8,159,2.172,11.2,0.9,8.4,7.8,0.93,
14,Joey Volchko,19,2,1,0.667,5.7,20,6,,0,0,1,42.2,41,30,27,2,38,0,53,3,0,9,205,1.852,8.6,0.4,8,11.2,1.39,
,14 Players,19.7,22,33,0.4,6.53,55,55,55,0,0,13,481,502,384,349,63,290,2,517,71,6,56,2276,1.647,9.4,1.2,5.4,9.7,1.78,
