Rk,Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB▼,SO,HBP,BK,WP,BF,WHIP,H9,HR9,BB9,SO9,SO/W,Notes
1,Justin Scharf?,--,4,2,0.667,3.23,38,0,,,0,4,47.1,49,19,17,0,14,3,30,7,1,3,202,1.331,9.3,0,2.7,5.7,2.14,
2,Kevin Allen,21,5,3,0.625,2.97,28,0,,,0,5,30.1,23,14,10,1,17,2,43,7,0,7,139,1.319,6.8,0.3,5,12.8,2.53,
3,Stefan Crichton,20,9,2,0.818,3.41,19,16,,,0,0,95,103,38,36,4,18,2,53,11,1,4,408,1.274,9.8,0.4,1.7,5,2.94,
4,Kaleb Merck,22,1,1,0.5,3.12,24,0,,,0,5,26,18,11,9,0,10,1,25,3,1,5,109,1.077,6.2,0,3.5,8.7,2.5,
5,Andrew Mitchell,20,5,3,0.625,3.74,17,16,,,0,0,77,55,36,32,6,46,1,101,10,3,9,338,1.312,6.4,0.7,5.4,11.8,2.2,
6,Chris Murphy?,--,0,0,,7.71,5,0,,,0,0,7,12,7,6,0,3,1,1,1,0,0,35,2.143,15.4,0,3.9,1.3,0.33,
7,Tyler Duffie,21,1,0,1,0,5,1,,,0,0,9.1,3,1,0,0,5,0,8,0,0,1,36,0.857,2.9,0,4.8,7.7,1.6,
8,Travis Evans?,--,1,0,1,4.05,7,0,,,0,0,6.2,6,4,3,0,3,0,9,2,1,2,31,1.35,8.1,0,4.1,12.2,3,
9,Brandon Finnegan*,19,4,5,0.444,3.47,23,11,,,0,0,62.1,51,25,24,0,30,0,56,11,1,3,277,1.299,7.4,0,4.3,8.1,1.87,
10,Nicholas Frey,20,0,1,0,4.81,10,2,,,0,0,24.1,32,21,13,1,11,0,15,7,1,3,123,1.767,11.8,0.4,4.1,5.5,1.36,
11,Axel Johnson*,19,0,0,,20.25,2,0,,,0,0,1.1,4,3,3,1,1,0,0,0,0,0,9,3.75,27,6.8,6.8,0,0,
12,Preston Morrison,18,9,2,0.818,2.08,22,11,,,1,1,112.2,88,29,26,2,12,0,72,8,1,0,442,0.888,7,0.2,1,5.8,6,
13,Jerrick Suiter,19,0,1,0,3.6,6,2,,,0,0,10,10,4,4,0,4,0,7,0,0,0,42,1.4,9,0,3.6,6.3,1.75,
14,Trey Teakell,20,1,2,0.333,4.7,19,3,,,0,0,46,52,30,24,3,10,0,25,7,0,1,202,1.348,10.2,0.6,2,4.9,2.5,
,14 Players,19.9,,,,3.35,0,0,0,0,7,0,555.1,506,242,207,18,184,10,445,74,10,38,2393,1.242,8.2,0.3,3,7.2,2.42,
