Rk,Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,WHIP,H9,HR9,BB9,SO9,SO/W,Notes
1,Tejay Antone,19,0,0,,9,6,0,,,0,0,7,11,11,7,0,3,0,4,1,0,4,39,2,14.1,0,3.9,5.1,1.33,
2,Stefan Crichton,21,4,3,0.571,6.59,17,6,,,0,0,41,50,31,30,1,10,0,31,3,1,5,184,1.463,11,0.2,2.2,6.8,3.1,
3,Travis Evans?,--,1,0,1,1.08,19,0,,,0,0,16.2,11,3,2,0,4,0,16,2,0,1,69,0.9,5.9,0,2.2,8.6,4,
4,Riley Ferrell,19,0,1,0,2.2,23,0,,,0,3,32.2,24,9,8,1,11,1,39,2,0,5,135,1.071,6.6,0.3,3,10.7,3.55,
5,Brandon Finnegan*,20,0,8,0,3.18,16,15,,,0,0,79.1,74,36,28,3,35,2,86,2,0,5,338,1.374,8.4,0.3,4,9.8,2.46,
6,Nicholas Frey,21,1,1,0.5,2.25,7,0,,,0,0,24,13,7,6,0,2,0,19,2,0,1,88,0.625,4.9,0,0.8,7.1,9.5,
7,Andrew Mitchell,21,1,2,0.333,3.49,20,10,,,0,1,49,42,26,19,1,33,2,57,10,0,9,227,1.531,7.7,0.2,6.1,10.5,1.73,
8,Preston Morrison,19,7,3,0.7,1.51,15,15,,,0,0,107,85,27,18,1,18,2,64,10,1,1,423,0.963,7.1,0.1,1.5,5.4,3.56,
9,Justin Scharf?,--,2,2,0.5,3.38,30,0,,,0,1,29.1,28,12,11,0,14,1,10,7,0,2,125,1.432,8.6,0,4.3,3.1,0.71,
10,Trevor Seidenberger*,21,3,4,0.429,2.63,21,6,,,0,0,54.2,43,18,16,3,15,1,62,6,0,10,226,1.061,7.1,0.5,2.5,10.2,4.13,
11,Trey Teakell,21,3,0,1,0.82,13,3,,,0,0,33,25,6,3,0,4,0,24,4,0,4,131,0.879,6.8,0,1.1,6.5,6,
12,Alex Young*,19,7,4,0.636,2.66,22,2,,,0,5,40.2,26,13,12,2,10,2,37,6,1,3,158,0.885,5.8,0.4,2.2,8.2,3.7,
,12 Players,20.1,,,,2.78,0,0,0,0,6,0,514.1,432,199,159,12,159,11,449,55,3,50,2143,1.149,7.6,0.2,2.8,7.9,2.82,
