Rk,Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,WHIP,H9,HR9,BB9,SO9,SO/W,Notes
1,Jared Allen?,--,0,1,0,36,1,1,,,0,0,1,3,4,4,1,3,0,1,0,0,0,9,6,27,9,27,9,0.33,
2,Josh Allman?,--,0,0,,5.4,5,1,,,0,0,6.2,6,4,4,1,4,0,1,2,0,1,29,1.5,8.1,1.4,5.4,1.4,0.25,
3,Nick Blount,21,1,3,0.25,5.04,23,5,,,0,10,44.2,58,29,25,2,9,2,24,4,1,4,199,1.5,11.7,0.4,1.8,4.8,2.67,
4,Hunter Daniel?,--,0,1,0,40.5,1,0,,,0,0,0.2,3,3,3,1,1,0,0,0,0,0,6,6,40.5,13.5,13.5,0,0,
5,Samuel Davis?,--,0,0,,inf,2,0,,,0,0,0,0,2,2,0,2,0,0,1,0,0,3,,,,,,0,
6,Zack Godley,22,3,2,0.6,3.5,12,11,,,0,0,69.1,66,30,27,3,18,0,53,7,0,9,295,1.212,8.6,0.4,2.3,6.9,2.94,
7,David Horne?,--,0,0,,3.6,3,1,,,0,0,5,6,3,2,1,2,0,2,0,0,1,23,1.6,10.8,1.8,3.6,3.6,1,
8,Robbie Kidd,19,2,3,0.4,4.86,21,7,,,0,0,63,58,37,34,3,41,0,41,14,0,9,294,1.571,8.3,0.4,5.9,5.9,1,
9,Eric Martin,19,0,0,,8.1,9,0,,,0,0,13.1,24,13,12,3,5,0,4,0,0,0,65,2.175,16.2,2,3.4,2.7,0.8,
10,Dalton Saberhagen?,--,5,3,0.625,4.66,23,3,,,0,0,36.2,39,24,19,5,18,0,14,5,0,2,171,1.555,9.6,1.2,4.4,3.4,0.78,
11,Drew Steckenrider,21,4,6,0.4,3.36,27,3,,,0,1,67,45,30,25,4,40,6,79,10,0,5,293,1.269,6,0.5,5.4,10.6,1.98,
12,Conner Stevens,19,1,2,0.333,4.39,20,1,,,0,0,41,47,24,20,5,22,0,16,6,1,3,189,1.683,10.3,1.1,4.8,3.5,0.73,
13,T.J. Thornton?,--,0,0,,4.26,9,3,,,0,0,19,17,10,9,3,11,1,12,4,0,1,88,1.474,8.1,1.4,5.2,5.7,1.09,
14,Joe Vanderplas*,19,0,1,0,13.5,4,1,,,0,0,5.1,12,11,8,2,2,0,3,0,2,0,33,2.625,20.3,3.4,3.4,5.1,1.5,
15,Carter Watson?,--,3,3,0.5,4.82,21,3,,,0,1,37.1,38,22,20,2,20,3,29,9,0,6,174,1.554,9.2,0.5,4.8,7,1.45,
16,Nick Williams,20,3,5,0.375,4.33,22,12,,,0,3,72.2,73,41,35,4,25,0,55,10,1,5,324,1.349,9,0.5,3.1,6.8,2.2,
17,Brandon Zajac*,19,0,1,0,5.68,4,3,,,0,0,12.2,14,10,8,0,12,0,3,1,0,2,65,2.053,9.9,0,8.5,2.1,0.25,
,17 Players,20.2,,,,4.65,0,0,0,0,2,0,495.1,509,297,256,40,235,12,337,73,5,48,2260,1.502,9.2,0.7,4.3,6.1,1.43,
