Rk,Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,WHIP,H9,HR9,BB9,SO9,SO/W,Notes
1,Mark Ecker,19,0,0,,1.8,4,0,,,0,0,5,3,1,1,0,2,0,4,0,0,0,21,1,5.4,0,3.6,7.2,2,
2,Jason Freeman,22,1,0,1,3.86,12,0,,,0,0,14,13,6,6,0,2,0,14,3,0,1,60,1.071,8.4,0,1.3,9,7,
3,Ryan Hendrix,19,0,2,0,7.27,11,1,,,0,0,8.2,8,8,7,2,6,0,9,1,0,2,41,1.615,8.3,2.1,6.2,9.3,1.5,
4,Rex Hill*,20,0,0,,0,3,0,,,0,0,3,2,0,0,0,3,0,0,1,0,0,16,1.667,6,0,9,0,0,
5,Jason Jester,23,2,2,0.5,5.19,24,2,,,0,3,26,38,17,15,1,16,3,26,1,0,5,131,2.077,13.2,0.3,5.5,9,1.63,
6,Matthew Kent*,21,3,1,0.75,3.15,20,4,,,0,0,45.2,50,18,16,1,8,0,32,6,0,1,197,1.27,9.9,0.2,1.6,6.3,4,
7,Grayson Long,20,6,2,0.75,3.12,15,15,,,0,0,89.1,98,32,31,2,28,0,55,1,2,4,383,1.41,9.9,0.2,2.8,5.5,1.96,
8,Daniel Mengden,21,4,9,0.308,4.08,16,16,,,0,0,103.2,103,55,47,3,29,1,95,14,3,9,457,1.273,8.9,0.3,2.5,8.2,3.28,
9,A.J. Minter*,20,3,0,1,1.85,26,0,,,0,2,24.1,20,5,5,3,12,1,24,2,0,1,101,1.315,7.4,1.1,4.4,8.9,2,
10,Corey Ray,21,6,1,0.857,1.91,17,4,,,0,0,37.2,34,13,8,1,14,0,25,1,0,4,164,1.274,8.1,0.2,3.3,6,1.79,
11,Parker Ray,23,4,3,0.571,5.68,18,9,,,0,0,69.2,75,45,44,2,27,5,58,5,0,7,314,1.464,9.7,0.3,3.5,7.5,2.15,
12,Ty Schlottmann*,--,0,2,0,2.59,24,0,,,0,2,31.1,26,9,9,1,10,1,26,4,0,5,132,1.149,7.5,0.3,2.9,7.5,2.6,
13,Tyler Stubblefield*,20,4,2,0.667,3.81,17,11,,,0,0,59,59,30,25,1,22,0,61,6,2,3,261,1.373,9,0.2,3.4,9.3,2.77,
14,Andrew Vinson,20,3,2,0.6,2.95,32,0,,,0,2,36.2,26,14,12,1,11,2,34,2,0,3,146,1.009,6.4,0.2,2.7,8.3,3.09,
,14 Players,20.9,,,,3.67,62,62,62,0,5,0,554,555,253,226,18,190,13,463,47,7,45,2424,1.345,9,0.3,3.1,7.5,2.44,
