Rk,Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,WHIP,H9,HR9,BB9,SO9,SO/W,Notes
1,Cory Bafidis*,20,,,,18,,0,,,0,,2,6,4,4,,2,,3,,,,,4,27,,9,13.5,1.5,
2,Taylor Christian,22,,,,5.25,,0,,,0,,12,12,8,7,,11,,9,,,,,1.917,9,,8.3,6.8,0.82,
3,Aaron Corwin,--,,,,3.08,,0,,,0,,26.1,19,11,9,,12,,19,,,,,1.177,6.5,,4.1,6.5,1.58,
4,Danny Coulombe*,21,,,,3.86,,4,,,0,,21,21,11,9,,7,,28,,,,,1.333,9,,3,12,4,
5,Scott Erzinger?,--,,,,3,,0,,,0,,3,2,1,1,,2,,3,,,,,1.333,6,,6,9,1.5,
6,Ben Flora?,--,,,,7.03,,3,,,0,,24.1,32,23,19,,12,,19,,,,,1.808,11.8,,4.4,7,1.58,
7,Zach Fowler*,22,,,,3.38,,0,,,0,,16,29,11,6,,9,,11,,,,,2.375,16.3,,5.1,6.2,1.22,
8,Hayden Holub?,--,,,,5.14,,0,,,0,,7,10,5,4,,1,,8,,,,,1.571,12.9,,1.3,10.3,8,
9,Robbie Kilcrease*,22,,,,5.91,,12,,,0,,64,82,45,42,,21,,39,,,,,1.609,11.5,,3,5.5,1.86,
10,Trey Masek,19,,,,4.7,,11,,,0,,67,69,44,35,,29,,33,,,,,1.463,9.3,,3.9,4.4,1.14,
11,Jerad McCrummen,20,,,,6.75,,0,,,0,,28,35,23,21,,7,,19,,,,,1.5,11.3,,2.3,6.1,2.71,
12,John Neely,20,,,,2.89,,0,,,0,,62.1,59,20,20,,21,,56,,,,,1.283,8.5,,3,8.1,2.67,
13,David Paiz,20,,,,6.71,,9,,,0,,52.1,63,44,39,,17,,34,,,,,1.529,10.8,,2.9,5.8,2,
14,Jamen Parten?,--,,,,6,,9,,,0,,42,62,36,28,,10,,23,,,,,1.714,13.3,,2.1,4.9,2.3,
15,Brennan Stewart?,--,,,,3.3,,3,,,0,,57.1,51,27,21,,13,,38,,,,,1.116,8,,2,6,2.92,
16,Dalton Von Schamann,20,,,,3.86,,7,,,0,,42,41,21,18,,8,,19,,,,,1.167,8.8,,1.7,4.1,2.38,
17,Andre Wheeler*,19,,,,2.7,,0,,,0,,3.1,3,1,1,,3,,3,,,,,1.8,8.1,,8.1,8.1,1,
,17 Players,20.4,,,,4.92,58,58,,,2,,516,596,335,282,,185,,364,,,,,1.514,10.4,,3.2,6.3,1.97,
