Rk,Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,WHIP,H9,HR9,BB9,SO9,SO/W,Notes
1,Kirby Bellow*,20,0,0,,33.75,5,0,,,0,0,1.1,5,7,5,1,4,0,1,0,0,0,15,6.75,33.8,6.8,27,6.8,0.25,
2,John Curtiss,19,2,3,0.4,3.5,28,4,,,0,2,64.1,55,26,25,2,25,0,48,4,2,1,268,1.244,7.7,0.3,3.5,6.7,1.92,
3,Kevin Dicharry,22,1,1,0.5,2.25,12,2,,,0,0,20,25,8,5,0,5,0,20,3,0,1,90,1.5,11.3,0,2.3,9,4,
4,Parker French,19,6,2,0.75,2.84,21,9,,,0,2,66.2,58,32,21,3,19,1,30,12,1,3,288,1.155,7.8,0.4,2.6,4.1,1.58,
5,Ricky Jacquez,19,2,1,0.667,5.79,14,9,,,0,0,42,45,29,27,5,23,0,43,7,0,5,201,1.619,9.6,1.1,4.9,9.2,1.87,
6,Corey Knebel,20,4,5,0.444,2.08,27,3,,,1,9,73.2,50,20,17,1,20,4,68,1,2,1,292,0.95,6.1,0.1,2.4,8.3,3.4,
7,Hoby Milner*,21,7,4,0.636,2.64,34,3,,,0,3,71.2,55,28,21,3,19,2,68,6,1,6,290,1.033,6.9,0.4,2.4,8.5,3.58,
8,Dillon Peters*,19,4,1,0.8,3.18,23,11,,,0,0,39.2,31,21,14,2,18,1,43,2,3,3,173,1.235,7,0.5,4.1,9.8,2.39,
9,Justin Peters,20,0,0,,13.5,2,0,,,0,0,2,6,3,3,2,0,0,4,0,0,0,12,3,27,9,0,18,,
10,Trevor Teykl,20,0,0,,21.6,2,0,,,0,0,1.2,4,4,4,0,0,0,2,2,0,1,10,2.4,21.6,0,0,10.8,,
11,Nathan Thornhill,20,4,5,0.444,3.87,18,11,,,0,0,83.2,81,46,36,5,25,1,64,4,0,6,358,1.267,8.7,0.5,2.7,6.9,2.56,
12,Josh Urban,21,0,0,,3.38,1,0,,,0,0,2.2,1,1,1,0,2,0,0,0,0,0,10,1.125,3.4,0,6.8,0,0,
,12 Players,19.8,,,,3.43,0,0,0,0,6,0,469.1,416,225,179,24,160,9,391,41,9,27,2007,1.227,8,0.5,3.1,7.5,2.44,
