Rk,Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,WHIP,H9,HR9,BB9,SO9,SO/W,Notes
1,Evan Brock?,--,9,6,0.6,3.02,19,16,,,0,0,107.1,109,40,36,1,23,4,70,4,1,5,449,1.23,9.1,0.1,1.9,5.9,3.04,
2,Kyle Davis,--,2,0,1,1.37,11,0,,,0,0,19.2,10,4,3,0,6,0,15,0,0,1,73,0.814,4.6,0,2.7,6.9,2.5,
3,Matt Fielding?,--,2,0,1,4,23,0,,,0,0,27,27,13,12,1,2,0,12,2,0,1,110,1.074,9,0.3,0.7,4,6,
4,Jimmy Litchfield*,22,3,2,0.6,3.55,27,0,,,0,2,38,35,18,15,1,12,2,22,2,0,1,163,1.237,8.3,0.2,2.8,5.2,1.83,
5,Evan Manarino*,21,4,4,0.5,2.66,23,11,,,0,1,64.1,77,36,19,2,9,1,56,7,0,3,284,1.337,10.8,0.3,1.3,7.8,6.22,
6,Michael Martin,19,0,1,0,9.64,5,0,,,0,0,4.2,9,6,5,0,3,0,3,1,1,0,28,2.571,17.4,0,5.8,5.8,1,
7,Mitch Merten,23,2,2,0.5,6.58,24,2,,,0,0,26,32,21,19,2,12,0,21,2,0,4,125,1.692,11.1,0.7,4.2,7.3,1.75,
8,Michael Miller?,--,0,0,,12,3,0,,,0,0,3,5,4,4,0,0,0,4,0,1,0,14,1.667,15,0,0,12,,
9,Sam Moore,21,0,3,0,1.85,32,0,,,0,23,43.2,35,10,9,0,11,1,39,5,0,1,177,1.053,7.2,0,2.3,8,3.55,
10,Andrew Morales,21,11,2,0.846,1.53,19,19,,,3,0,135.2,89,27,23,1,33,1,141,1,0,10,531,0.899,5.9,0.1,2.2,9.4,4.27,
11,Sean Sparling,--,0,0,,9.95,7,0,,,0,0,6.1,12,8,7,0,1,0,7,0,0,1,33,2.053,17.1,0,1.4,9.9,7,
12,Elliot Surrey*,20,8,5,0.615,2.32,19,18,,,1,1,112.2,97,37,29,2,29,3,76,13,0,4,467,1.118,7.7,0.2,2.3,6.1,2.62,
13,Max Weinstein,19,0,0,,0,4,0,,,0,0,2.2,0,0,0,0,0,0,0,2,0,0,9,0,0,0,0,0,,
,13 Players,21.1,,,,2.76,66,66,66,0,4,0,591,537,224,181,10,141,12,466,39,3,31,2463,1.147,8.2,0.2,2.1,7.1,3.31,
