Rk,Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,WHIP,H9,HR9,BB9,SO9,SO/W,Notes
1,Chris Aldrich,21,3,3,0.5,4.66,33,0,,0,0,0,38.2,47,28,20,2,12,0,38,1,2,5,178,1.526,10.9,0.5,2.8,8.8,3.17,
2,Kelly Austin,22,5,4,0.556,3.39,17,13,,0,0,0,82.1,72,39,31,8,34,0,104,1,0,6,353,1.287,7.9,0.9,3.7,11.4,3.06,
3,Michael Barnett,19,1,0,1,3.97,22,9,,0,0,0,45.1,35,21,20,3,12,0,31,6,0,0,186,1.037,6.9,0.6,2.4,6.2,2.58,
4,Jake Brooks,21,6,6,0.5,5.64,14,14,,0,0,0,75,87,53,47,9,19,0,77,12,3,1,343,1.413,10.4,1.1,2.3,9.2,4.05,
5,Cody Delvecchio,19,1,4,0.2,4.2,36,0,,0,0,3,45,40,23,21,7,17,2,48,4,0,1,195,1.267,8,1.4,3.4,9.6,2.82,
6,Ethan Flanagan*,21,2,1,0.667,5.12,9,6,,0,0,0,31.2,28,22,18,3,16,0,31,6,0,1,147,1.389,8,0.9,4.5,8.8,1.94,
7,Chris Grothues*,20,0,1,0,13.5,1,0,,0,0,0,0.2,1,1,1,1,1,0,0,0,0,0,4,3,13.5,13.5,13.5,0,0,
8,Josh Hahn*,22,0,1,0,3.38,2,1,,0,0,0,2.2,5,3,1,0,2,0,1,0,0,0,15,2.625,16.9,0,6.8,3.4,0.5,
9,Charles Harrison,21,1,0,1,1.38,22,0,,0,0,0,26,21,4,4,2,8,0,37,0,0,2,106,1.115,7.3,0.7,2.8,12.8,4.63,
10,James Hepp,20,0,0,,3.38,3,0,,0,0,0,2.2,1,1,1,0,2,0,3,1,0,2,12,1.125,3.4,0,6.8,10.1,1.5,
11,Ben Jacobs*,19,0,1,0,9,7,1,,0,0,0,5,7,5,5,1,9,0,6,1,0,1,32,3.2,12.6,1.8,16.2,10.8,0.67,
12,Luke Jewett,20,1,1,0.5,5.31,14,0,,0,0,4,20.1,30,13,12,5,1,0,21,0,0,0,93,1.525,13.3,2.2,0.4,9.3,21,
13,Caedon Kottinger,20,0,0,,8.53,15,0,,0,0,0,12.2,18,13,12,3,6,0,14,1,1,3,63,1.895,12.8,2.1,4.3,9.9,2.33,
14,Nate Leibold,19,1,0,1,7.56,8,0,,0,0,0,8.1,15,9,7,1,6,0,7,0,0,4,45,2.52,16.2,1.1,6.5,7.6,1.17,
15,Finn McIlroy,19,2,0,1,4.5,16,0,,0,0,0,18,18,10,9,2,5,0,22,2,1,3,78,1.278,9,1,2.5,11,4.4,
16,Jake Saum*,22,1,0,1,7.36,22,0,,0,0,0,11,13,11,9,1,10,0,16,2,0,1,59,2.091,10.6,0.8,8.2,13.1,1.6,
17,Alonzo Tredwell,21,4,2,0.667,3.57,9,9,,0,0,0,45.1,43,18,18,5,12,0,51,4,2,4,186,1.213,8.5,1,2.4,10.1,4.25,
18,JonJon Vaughns,22,0,0,,0,1,0,,0,0,0,1,0,0,0,0,1,0,0,1,0,0,5,1,0,0,9,0,0,
,18 Players,20.4,28,24,0.538,4.5,53,53,53,0,4,7,471.2,481,274,236,53,173,2,507,42,9,34,2100,1.387,9.2,1,3.3,9.7,2.93,
