Rk,Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,WHIP,H9,HR9,BB9,SO9,SO/W,Notes
1,Matt Ager,21,3,4,0.429,4.02,24,9,,0,0,11,62.2,59,34,28,4,28,2,59,7,0,8,284,1.388,8.5,0.6,4,8.5,2.11,
2,Hudson Barrett*,20,0,1,0,7.71,2,0,,0,0,0,2.1,0,2,2,0,6,0,3,0,0,0,14,2.571,0,0,23.1,11.6,0.5,
3,Tyler Bremner,20,11,1,0.917,2.54,19,9,,1,0,0,88.2,57,27,25,6,21,1,104,3,1,6,344,0.88,5.8,0.6,2.1,10.6,4.95,
4,Frank Camarillo,20,2,0,1,7.97,13,1,,0,0,0,20.1,27,18,18,6,12,0,18,1,0,5,98,1.918,12,2.7,5.3,8,1.5,
5,Jed DeCooman,21,0,0,,9,1,0,,0,0,0,1,2,1,1,0,0,0,1,0,0,0,4,2,18,0,0,9,,
6,Jackson Flora,19,3,2,0.6,3.83,23,4,,0,0,5,47,43,24,20,6,25,1,40,5,0,2,205,1.447,8.2,1.1,4.8,7.7,1.6,
7,Ryan Gallagher,21,10,1,0.909,2.22,14,14,,1,1,0,89,50,26,22,3,25,0,96,6,0,8,351,0.843,5.1,0.3,2.5,9.7,3.84,
8,Mike Gutierrez*,23,10,0,1,3.18,16,16,,0,0,0,90.2,70,36,32,7,34,0,86,10,4,4,384,1.147,6.9,0.7,3.4,8.5,2.53,
9,Hayden Hattenbach*,21,0,0,,8.1,4,0,,0,0,0,3.1,5,3,3,0,3,0,4,0,0,2,18,2.4,13.5,0,8.1,10.8,1.33,
10,Brady Huddlestun,22,0,0,,2.45,7,0,,0,0,0,7.1,10,2,2,0,1,0,8,1,0,1,33,1.5,12.3,0,1.2,9.8,8,
11,AJ Krodel,19,0,0,,9.82,3,1,,0,0,0,3.2,2,5,4,0,3,0,4,1,0,0,18,1.364,4.9,0,7.4,9.8,1.33,
12,Reed Moring,19,1,3,0.25,7.12,16,3,,0,0,0,30.1,42,25,24,4,20,1,31,6,0,2,156,2.044,12.5,1.2,5.9,9.2,1.55,
13,Nic Peterson*,19,0,0,,13.5,2,0,,0,0,0,2.2,7,4,4,0,0,0,3,0,0,0,15,2.625,23.6,0,0,10.1,,
14,Calvin Proskey,19,1,0,1,6.1,8,0,,0,0,0,10.1,10,7,7,0,11,1,6,2,0,1,49,2.032,8.7,0,9.6,5.2,0.55,
15,Peter Storjohann,20,0,0,,0,2,0,,0,0,0,2.1,2,1,0,0,0,0,2,0,0,0,10,0.857,7.7,0,0,7.7,,
16,Ryan Troye,21,0,0,,11.05,8,0,,0,0,0,7.1,4,9,9,0,10,1,8,3,0,8,38,1.909,4.9,0,12.3,9.8,0.8,
17,Cole Tryba*,19,3,2,0.6,3.64,27,1,,0,0,3,47,42,25,19,1,14,1,65,11,0,3,206,1.191,8,0.2,2.7,12.4,4.64,
,17 Players,20.4,44,14,0.759,3.84,58,58,56,2,4,19,516,432,249,220,37,213,8,538,56,5,50,2227,1.25,7.5,0.6,3.7,9.4,2.53,
