Rk,Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,WHIP,H9,HR9,BB9,SO9,SO/W,Notes
1,Tyler Brown,21,1,2,0.333,2.53,7,0,,0,0,1,10.2,12,5,3,1,4,2,14,1,0,0,49,1.5,10.1,0.8,3.4,11.8,3.5,
2,Michael Doolin,19,1,0,1,0.87,5,0,,0,0,1,10.1,6,1,1,1,4,0,18,4,0,0,45,0.968,5.2,0.9,3.5,15.7,4.5,
3,Jake Eder*,21,1,1,0.5,3.6,4,4,,0,0,0,20,20,9,8,1,9,0,27,1,0,1,88,1.45,9,0.5,4.1,12.2,3,
4,Mason Hickman,21,2,0,1,0.48,3,3,,0,0,0,18.2,8,2,1,0,3,0,26,0,0,2,66,0.589,3.9,0,1.4,12.5,8.67,
5,Sam Hliboki,18,0,0,,0,5,0,,0,0,2,15.2,2,0,0,0,2,0,16,2,0,0,52,0.255,1.1,0,1.1,9.2,8,
6,Erik Kaiser,21,1,0,1,0,4,0,,0,0,0,5,2,2,0,0,2,0,10,1,0,0,22,0.8,3.6,0,3.6,18,5,
7,Jack Leiter,20,2,0,1,1.72,4,3,,0,0,0,15.2,5,3,3,0,8,0,22,1,0,3,60,0.83,2.9,0,4.6,12.6,2.75,
8,Nick Maldonado,20,0,0,,2.7,4,0,,0,0,0,6.2,7,2,2,0,1,0,6,0,0,0,27,1.2,9.5,0,1.4,8.1,6,
9,Chris McElvain,19,0,0,,4.82,6,0,,0,0,0,9.1,8,5,5,0,4,0,7,0,0,3,40,1.286,7.7,0,3.9,6.8,1.75,
10,Luke Murphy,20,0,0,,13.5,4,0,,0,0,0,2,2,3,3,0,9,0,4,1,0,2,18,5.5,9,0,40.5,18,0.44,
11,Kumar Rocker,20,2,1,0.667,1.8,3,3,,0,0,0,15,6,5,3,0,8,0,28,3,0,2,63,0.933,3.6,0,4.8,16.8,3.5,
12,Thomas Schultz,20,0,1,0,0.66,4,1,,0,0,1,13.2,9,1,1,0,3,1,17,0,0,1,53,0.878,5.9,0,2,11.2,5.67,
13,Ethan Smith,21,3,0,1,1.42,5,4,,0,0,0,19,12,4,3,0,9,0,23,1,0,3,78,1.105,5.7,0,4.3,10.9,2.56,
,13 Players,20.1,13,5,0.722,1.84,18,18,18,0,4,0,161.2,99,42,33,3,66,3,218,15,0,17,661,1.021,5.5,0.2,3.7,12.1,3.3,
