Rk,Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,WHIP,H9,HR9,BB9,SO9,SO/W,Notes
1,Nate Abel*,20,0,0,,6.43,6,0,,,0,0,7,6,5,5,1,6,0,6,0,1,2,32,1.714,7.7,1.3,7.7,7.7,1,
2,Kyle Crockett*,21,4,1,0.8,1.7,29,0,,,0,12,58.1,42,13,11,0,7,4,71,3,0,3,224,0.84,6.5,0,1.1,11,10.14,
3,Kevin Doherty*,--,0,0,,0,3,0,,,0,0,3.2,2,0,0,0,1,0,3,0,0,0,14,0.818,4.9,0,2.5,7.4,3,
4,Nick Howard,20,6,4,0.6,3.38,13,12,,,0,0,61.1,67,31,23,2,15,0,52,4,0,2,273,1.337,9.8,0.3,2.2,7.6,3.47,
5,Nathan Kirby*,19,4,1,0.8,6.06,24,2,,,0,0,32.2,43,26,22,2,13,1,37,3,0,4,156,1.714,11.8,0.6,3.6,10.2,2.85,
6,Artie Lewicki,21,0,1,0,13.5,2,2,,,0,0,2,3,4,3,0,3,0,0,0,0,0,12,3,13.5,0,13.5,0,0,
7,Brett Lisle?,--,0,0,,0,2,0,,,0,0,1.1,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,,
8,Whit Mayberry,23,4,0,1,2.45,22,4,,,0,2,51.1,44,18,14,1,9,0,34,3,0,3,203,1.032,7.7,0.2,1.6,6,3.78,
9,Trey Oest,19,5,0,1,4.28,12,7,,,0,0,40,36,19,19,3,12,0,30,0,0,4,163,1.2,8.1,0.7,2.7,6.8,2.5,
10,David Rosenberger*,19,3,0,1,1.38,20,0,,,0,0,32.2,31,8,5,1,3,0,23,0,0,1,130,1.041,8.5,0.3,0.8,6.3,7.67,
11,Josh Sborz,19,3,0,1,1.98,30,3,,,0,2,50,37,15,11,1,12,0,47,3,1,3,200,0.98,6.7,0.2,2.2,8.5,3.92,
12,Scott Silverstein*,23,10,2,0.833,3.15,16,16,,,0,0,91.1,93,43,32,3,28,1,70,4,1,2,394,1.325,9.2,0.3,2.8,6.9,2.5,
13,Cameron Tekker,19,0,0,,2.08,4,0,,,0,0,4.1,3,1,1,0,2,0,4,0,0,0,18,1.154,6.2,0,4.2,8.3,2,
14,Brandon Waddell*,19,6,3,0.667,3.96,16,16,,,0,0,88.2,100,54,39,5,23,1,84,5,1,4,398,1.387,10.2,0.5,2.3,8.5,3.65,
15,Austin Young,21,5,0,1,2.25,28,0,,,0,0,32,22,9,8,2,12,0,32,3,0,0,133,1.063,6.2,0.6,3.4,9,2.67,
,15 Players,20.4,,,,3.12,0,0,0,0,9,0,556.2,529,246,193,21,146,7,493,29,4,28,2354,1.213,8.6,0.3,2.4,8,3.38,
