Rk,Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,WHIP,H9,HR9,BB9,SO9,SO/W,Notes
1,Christian Bartholomew,22,3,0,1,9.37,12,3,,0,0,0,16.1,30,17,17,2,6,0,10,3,0,2,84,2.204,16.5,1.1,3.3,5.5,1.67,
2,Ben Casstevens?,--,0,0,,13.5,2,0,,0,0,0,0.2,2,1,1,0,0,0,0,1,0,0,5,3,27,0,0,0,,
3,Will Craig,21,2,0,1,3.54,19,0,,0,0,9,28,27,12,11,0,12,1,25,2,1,4,126,1.393,8.7,0,3.9,8,2.08,
4,Parker Dunshee,21,10,5,0.667,3.2,16,15,,1,0,0,101.1,98,42,36,8,32,3,102,6,0,8,436,1.283,8.7,0.7,2.8,9.1,3.19,
5,Chris Farish,21,2,1,0.667,4.82,35,0,,0,0,0,28,22,18,15,4,30,0,35,5,0,14,139,1.857,7.1,1.3,9.6,11.3,1.17,
6,Aaron Fossas,23,0,1,0,12.27,10,3,,0,0,0,11,16,17,15,4,10,0,8,5,0,5,63,2.364,13.1,3.3,8.2,6.5,0.8,
7,Parker Johnson,21,0,1,0,9.28,11,0,,0,0,0,10.2,11,13,11,2,5,0,15,1,0,3,49,1.5,9.3,1.7,4.2,12.7,3,
8,Connor Johnstone,21,2,6,0.25,5.7,14,14,,0,0,0,77.1,104,60,49,6,12,0,33,6,3,10,351,1.5,12.1,0.7,1.4,3.8,2.75,
9,Garrett Kelly,21,1,2,0.333,4.86,28,1,,0,0,1,33.1,28,22,18,3,27,1,41,2,1,10,159,1.65,7.6,0.8,7.3,11.1,1.52,
10,Drew Loepprich,20,3,2,0.6,4.85,20,16,,0,0,0,78,83,48,42,6,25,0,52,10,0,3,346,1.385,9.6,0.7,2.9,6,2.08,
11,John McCarren,21,7,3,0.7,3.66,27,4,,0,0,0,66.1,83,37,27,7,17,0,41,0,0,1,298,1.508,11.3,0.9,2.3,5.6,2.41,
12,Ryan Morse*,22,0,0,,7.2,13,0,,0,0,0,5,6,4,4,0,6,0,7,1,0,3,28,2.4,10.8,0,10.8,12.6,1.17,
13,David Peljovich*,--,0,0,,0,3,0,,0,0,0,2,2,0,0,0,0,0,4,0,0,0,8,1,9,0,0,18,,
14,Griffin Roberts,20,0,1,0,9.19,18,1,,0,0,0,15.2,14,18,16,1,22,0,18,5,0,7,87,2.298,8,0.6,12.6,10.3,0.82,
15,Donnie Sellers,20,5,5,0.5,5.65,36,0,,0,0,5,43,46,30,27,6,21,1,25,2,1,3,190,1.558,9.6,1.3,4.4,5.2,1.19,
16,Rayne Supple,18,0,0,,8.49,17,5,,0,0,1,23.1,24,23,22,3,31,0,17,2,0,5,126,2.357,9.3,1.2,12,6.6,0.55,
17,Tyler Witt*,19,0,0,,23.63,3,0,,0,0,0,2.2,4,7,7,0,6,0,2,0,0,0,18,3.75,13.5,0,20.3,6.8,0.33,
,17 Players,20.7,,,,5.24,0,0,0,0,3,0,542.2,600,369,316,52,262,6,435,51,6,78,2513,1.588,10,0.9,4.3,7.2,1.66,
