Rk,Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,WHIP,H9,HR9,BB9,SO9,SO/W,Notes
1,Conner Dotson,22,0,1,0,7.2,5,0,,0,0,0,5,8,6,4,0,3,0,5,1,0,2,25,2.2,14.4,0,5.4,9,1.67,
2,Shane Ennis,22,4,3,0.571,3.22,30,1,,0,0,3,44.2,36,20,16,2,32,1,34,3,0,3,196,1.522,7.3,0.4,6.4,6.9,1.06,
3,Tristen Hudson,18,2,0,1,5.13,24,0,,0,0,0,26.1,28,20,15,1,15,1,25,5,0,1,129,1.633,9.6,0.3,5.1,8.5,1.67,
4,Isaiah Kearns,20,3,4,0.429,4.27,13,11,,0,0,0,46.1,45,25,22,6,24,0,53,2,1,0,209,1.489,8.7,1.2,4.7,10.3,2.21,
5,Sam Kessler,20,4,0,1,2.86,25,0,,0,0,4,28.1,25,17,9,1,12,0,32,9,1,3,134,1.306,7.9,0.3,3.8,10.2,2.67,
6,Alek Manoah,20,3,5,0.375,4,23,8,,0,0,2,54,53,36,24,3,28,1,60,15,1,7,258,1.5,8.8,0.5,4.7,10,2.14,
7,Dillon Meadows?,--,0,0,,5,10,0,,0,0,0,9,8,6,5,1,5,0,5,1,0,1,40,1.444,8,1,5,5,1,
8,B.J. Myers,23,2,2,0.5,4.19,19,14,,0,0,1,77.1,86,54,36,4,25,1,59,13,1,5,350,1.435,10,0.5,2.9,6.9,2.36,
9,Jacob Potock,20,0,0,,11.57,3,0,,0,0,0,2.1,5,3,3,1,3,1,0,0,0,0,15,3.429,19.3,3.9,11.6,0,0,
10,Zach Reid*,22,1,0,1,5.79,11,0,,0,0,0,9.1,8,6,6,2,2,0,12,3,0,0,41,1.071,7.7,1.9,1.9,11.6,6,
11,Nick Snyder*,20,0,0,,22.5,7,0,,0,0,0,4,4,13,10,1,13,0,6,0,0,2,29,4.25,9,2.3,29.3,13.5,0.46,
12,Kade Strowd,20,4,7,0.364,5.74,15,13,,0,0,0,62.2,67,41,40,3,36,0,61,7,0,2,290,1.644,9.6,0.4,5.2,8.8,1.69,
13,Riley Troutt,20,0,0,,15.43,5,0,,0,0,0,4.2,9,8,8,1,4,0,2,0,0,2,27,2.786,17.4,1.9,7.7,3.9,0.5,
14,Jackson Wolf*,19,1,1,0.5,4.07,17,2,,0,0,0,24.1,19,15,11,2,15,0,24,4,0,1,107,1.397,7,0.7,5.5,8.9,1.6,
15,Cody Wood,21,0,0,,4.7,15,0,,0,0,0,23,24,12,12,2,14,4,14,1,0,2,108,1.652,9.4,0.8,5.5,5.5,1,
16,Christian Young,22,3,1,0.75,5.88,17,3,,0,0,0,33.2,29,23,22,6,14,1,35,4,1,6,151,1.277,7.8,1.6,3.7,9.4,2.5,
17,Braden Zarbnisky,21,2,3,0.4,4.62,15,4,,0,0,2,37,39,22,19,4,15,1,35,1,1,1,161,1.459,9.5,1,3.6,8.5,2.33,
,17 Players,20.7,29,27,0.518,4.79,0,0,0,0,3,0,492,493,327,262,40,260,11,462,69,6,38,2270,1.53,9,0.7,4.8,8.5,1.78,
