Rk,Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,WHIP,H9,HR9,BB9,SO9,SO/W,Notes
1,Landon Beidelschies*,21,4,0,1,4.82,16,13,,0,0,0,61.2,59,34,33,14,20,1,70,8,0,4,263,1.281,8.6,2,2.9,10.2,3.5,
2,Ben Bybee,21,3,0,1,4.38,18,3,,0,0,0,37,38,20,18,6,15,0,42,1,1,0,162,1.432,9.2,1.5,3.6,10.2,2.8,
3,Dylan Carter,23,6,0,1,2.18,22,0,,0,0,0,33,23,8,8,3,12,0,36,5,0,8,133,1.061,6.3,0.8,3.3,9.8,3,
4,Parker Coil*,21,3,0,1,1.27,14,0,,0,0,1,21.1,22,5,3,2,2,0,24,1,0,0,89,1.125,9.3,0.8,0.8,10.1,12,
5,Hunter Dietz*,20,0,0,,54,2,0,,0,0,0,0.2,4,4,4,1,0,0,2,0,0,1,7,6,54,13.5,0,27,,
6,Steele Eaves,19,1,0,1,1.86,8,0,,0,0,0,9.2,9,2,2,0,2,0,10,2,0,1,42,1.138,8.4,0,1.9,9.3,5,
7,Colin Fisher*,20,3,0,1,4.62,16,5,,0,0,0,25.1,20,13,13,2,12,0,31,2,0,4,108,1.263,7.1,0.7,4.3,11,2.58,
8,Christian Foutch,21,1,0,1,4.09,21,0,,0,0,4,22,14,11,10,3,10,0,31,8,0,2,96,1.091,5.7,1.2,4.1,12.7,3.1,
9,Gabe Gaeckle,20,4,2,0.667,4.42,19,9,,0,0,2,71.1,63,37,35,7,31,1,92,5,0,8,308,1.318,7.9,0.9,3.9,11.6,2.97,
10,Cole Gibler*,19,3,2,0.6,3.99,20,0,,0,0,1,29.1,25,13,13,3,12,0,57,3,0,5,128,1.261,7.7,0.9,3.7,17.5,4.75,
11,Aiden Jimenez,21,4,1,0.8,3.4,22,2,,0,0,1,42.1,41,16,16,2,13,1,40,2,0,1,175,1.276,8.7,0.4,2.8,8.5,3.08,
12,Will McEntire,24,1,0,1,2.84,17,0,,0,0,2,25.1,16,11,8,4,4,0,29,1,0,2,98,0.789,5.7,1.4,1.4,10.3,7.25,
13,Tate McGuire,20,3,2,0.6,4.55,14,4,,0,0,1,27.2,23,14,14,4,9,0,24,3,0,2,115,1.157,7.5,1.3,2.9,7.8,2.67,
14,Zach Root*,21,9,6,0.6,3.62,19,19,,1,0,0,99.1,82,47,40,7,35,0,126,9,2,6,420,1.178,7.4,0.6,3.2,11.4,3.6,
15,Carson Wiggins,20,1,1,0.5,3.21,14,0,,0,0,3,14,7,6,5,0,9,2,20,1,0,6,59,1.143,4.5,0,5.8,12.9,2.22,
16,Gage Wood,21,4,1,0.8,3.82,10,10,,1,1,0,37.2,27,17,16,5,7,0,69,3,0,2,150,0.903,6.5,1.2,1.7,16.5,9.86,
,16 Players,20.9,50,15,0.769,3.84,65,65,63,2,8,15,557.2,473,258,238,63,193,5,703,54,3,52,2353,1.194,7.6,1,3.1,11.3,3.64,
