Rk,Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,WHIP,H9,HR9,BB9,SO9,SO/W,Notes
1,Ben Bybee,20,2,1,0.667,5.83,11,7,,0,0,0,29.1,30,21,19,5,12,1,36,1,0,1,129,1.432,9.2,1.5,3.7,11,3,
2,Dylan Carter,22,1,0,1,8.18,8,0,,0,0,0,11,12,10,10,3,6,0,6,1,0,1,51,1.636,9.8,2.5,4.9,4.9,1,
3,Parker Coil*,20,0,0,,7.23,16,0,,0,0,0,18.2,25,16,15,3,6,1,23,3,0,0,89,1.661,12.1,1.4,2.9,11.1,3.83,
4,Hunter Dietz*,19,0,0,,0,2,0,,0,0,0,1,1,0,0,0,2,0,2,1,0,0,7,3,9,0,18,18,1,
5,Cooper Dossett,20,3,1,0.75,5.17,14,0,,0,0,0,15.2,7,9,9,2,7,0,20,3,0,0,61,0.894,4,1.1,4,11.5,2.86,
6,Jake Faherty,21,0,1,0,1.84,16,0,,0,0,1,14.2,8,4,3,1,9,0,26,1,0,1,65,1.159,4.9,0.6,5.5,16,2.89,
7,Colin Fisher*,19,6,1,0.857,2.67,10,7,,0,0,0,27,24,9,8,3,8,1,27,3,1,0,113,1.185,8,1,2.7,9,3.38,
8,Christian Foutch,20,1,0,1,0.81,20,0,,0,0,1,22.1,19,2,2,1,7,0,20,6,0,3,94,1.164,7.7,0.4,2.8,8.1,2.86,
9,Koty Frank,24,2,0,1,5.58,20,0,,0,0,4,30.2,30,21,19,4,9,1,30,6,0,2,134,1.272,8.8,1.2,2.6,8.8,3.33,
10,Gabe Gaeckle,19,3,3,0.5,2.32,22,0,,0,0,7,42.2,26,14,11,1,19,2,57,2,1,2,178,1.055,5.5,0.2,4,12,3,
11,Stone Hewlett*,22,1,0,1,3.46,23,0,,0,0,4,13,6,5,5,1,8,0,23,0,0,2,53,1.077,4.2,0.7,5.5,15.9,2.88,
12,Will McEntire,23,5,0,1,4.83,30,1,,0,0,4,54,56,31,29,5,18,2,65,0,0,3,232,1.37,9.3,0.8,3,10.8,3.61,
13,Tate McGuire,19,0,0,,5.4,2,0,,0,0,0,1.2,3,1,1,0,2,0,4,1,0,0,11,3,16.2,0,10.8,21.6,2,
14,Mason Molina*,20,4,2,0.667,4.47,15,13,,0,0,0,58.1,39,29,29,10,36,0,81,7,1,2,251,1.286,6,1.5,5.6,12.5,2.25,
15,Hagen Smith*,20,9,2,0.818,2.04,16,16,,0,0,0,84,41,22,19,5,34,1,161,5,0,2,331,0.893,4.4,0.5,3.6,17.3,4.74,
16,Brady Tygart,21,4,3,0.571,3.94,14,13,,0,0,0,59.1,46,28,26,6,36,1,69,15,1,7,265,1.382,7,0.9,5.5,10.5,1.92,
17,Gage Wood,20,3,2,0.6,4.46,22,3,,0,0,2,40.1,42,23,20,6,8,1,56,5,0,0,176,1.24,9.4,1.3,1.8,12.5,7,
,17 Players,20.8,44,16,0.733,3.87,60,60,60,0,6,23,523.2,415,245,225,56,227,11,706,60,4,26,2240,1.226,7.1,1,3.9,12.1,3.11,
