Rk,Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,WHIP,H9,HR9,BB9,SO9,SO/W,Notes
1,Austin Bain,21,4,0,1,4.6,20,2,,0,0,0,29.1,27,15,15,2,14,0,32,2,0,4,125,1.398,8.3,0.6,4.3,9.8,2.29,
2,Brennan Breaux*,19,0,0,,0,1,0,,0,0,0,0.1,2,5,0,0,1,0,0,0,0,0,6,9,54,0,27,0,0,
3,Parker Bugg,21,1,2,0.333,3.63,28,0,,0,0,4,39.2,31,16,16,0,16,0,36,3,1,4,172,1.185,7,0,3.6,8.2,2.25,
4,Alden Cartwright,21,3,0,1,2.93,11,2,,0,0,0,15.1,11,5,5,2,4,0,13,2,0,0,62,0.978,6.5,1.2,2.3,7.6,3.25,
5,Hunter Devall*,23,0,0,,3.12,10,0,,0,0,0,8.2,8,5,3,1,6,0,11,0,0,1,41,1.615,8.3,1,6.2,11.4,1.83,
6,Caleb Gilbert,19,4,4,0.5,5.04,25,5,,0,0,1,44.2,55,30,25,2,22,0,43,0,0,6,203,1.724,11.1,0.4,4.4,8.7,1.95,
7,Alex Lange,20,8,4,0.667,3.79,17,17,,2,0,0,111.2,92,50,47,12,49,4,125,9,0,18,473,1.263,7.4,1,3.9,10.1,2.55,
8,Jacob Latz*,20,0,1,0,7.56,7,3,,0,0,0,8.1,10,7,7,3,4,1,11,1,0,1,41,1.68,10.8,3.2,4.3,11.9,2.75,
9,Cole McKay,19,0,1,0,6.75,8,2,,0,0,0,8,12,6,6,0,11,0,12,0,0,6,48,2.875,13.5,0,12.4,13.5,1.09,
10,Hunter Newman,22,1,1,0.5,2.13,28,0,,0,0,8,38,21,9,9,1,15,1,40,0,0,2,146,0.947,5,0.2,3.6,9.5,2.67,
11,Doug Norman,20,1,1,0.5,3.41,23,2,,0,0,0,31.2,26,18,12,0,18,1,21,1,0,3,135,1.389,7.4,0,5.1,6,1.17,
12,Jared Poche*,21,9,4,0.692,3.35,19,17,,0,0,0,102,106,44,38,8,37,3,87,7,0,11,442,1.402,9.4,0.7,3.3,7.7,2.35,
13,Russell Reynolds,22,3,0,1,4.08,26,0,,0,0,1,35.1,35,18,16,1,10,1,23,4,0,2,154,1.274,8.9,0.3,2.5,5.9,2.3,
14,Riley Smith,21,2,1,0.667,7.66,12,1,,0,0,0,22.1,25,19,19,2,11,0,11,2,0,0,105,1.612,10.1,0.8,4.4,4.4,1,
15,Jesse Stallings,21,3,0,1,3.64,25,2,,0,0,1,29.2,26,12,12,2,15,2,18,2,0,1,133,1.382,7.9,0.6,4.6,5.5,1.2,
16,Collin Strall,21,0,0,,9.82,4,0,,0,0,0,3.2,7,6,4,0,4,0,5,0,0,1,22,3,17.2,0,9.8,12.3,1.25,
17,John Valek*,22,6,2,0.75,4.04,15,13,,0,0,0,62.1,70,31,28,8,9,0,52,5,0,3,269,1.267,10.1,1.2,1.3,7.5,5.78,
,17 Players,20.9,,,,3.99,0,0,0,0,3,0,591,564,296,262,44,246,13,540,38,1,63,2577,1.371,8.6,0.7,3.7,8.2,2.2,
