Rk,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,Notes
1,Austin Bain,23,64,254,228,35,71,21,1,3,42,2,0,26,38,0.311,0.382,0.452,0.834,103,,0,0,0,0,
2,Brandt Broussard,22,52,203,173,28,45,4,2,0,21,14,1,17,35,0.26,0.333,0.306,0.64,53,,3,8,2,0,
3,Daniel Cabrera*,19,64,257,219,38,69,18,2,8,54,2,2,34,36,0.315,0.405,0.525,0.93,115,,1,0,3,2,
4,Nick Coomes,22,43,113,101,15,26,6,0,2,16,2,0,9,22,0.257,0.31,0.376,0.686,38,,0,0,3,0,
5,Braden Doughty,19,15,7,3,2,0,0,0,0,0,0,0,2,2,0,0.571,0,0.571,0,,2,0,0,0,
6,Antoine Duplantis*,21,66,303,271,55,89,13,6,2,48,19,8,22,32,0.328,0.381,0.443,0.824,120,,4,1,5,1,
7,Hunter Feduccia*,21,56,185,146,22,34,10,1,3,31,3,1,34,34,0.233,0.375,0.377,0.752,55,,1,1,3,0,
8,Hal Hughes,19,65,225,190,25,42,8,1,1,20,2,1,12,37,0.221,0.292,0.289,0.581,55,,7,16,0,0,
9,Beau Jordan,22,63,243,214,46,64,10,1,8,30,5,1,12,28,0.299,0.361,0.467,0.828,100,,11,2,4,0,
10,Bryce Jordan,22,37,114,86,18,22,5,0,2,17,2,0,19,23,0.256,0.434,0.384,0.817,33,,8,1,0,0,
11,Todd Peterson,20,25,1,1,0,1,1,0,0,2,0,0,0,0,1,1,2,3,2,,0,0,0,0,
12,Chris Reid*,21,46,83,60,12,16,1,0,0,7,0,0,19,15,0.267,0.438,0.283,0.721,17,,0,3,1,0,
13,Jake Slaughter,21,59,212,185,29,47,5,2,8,30,4,0,20,39,0.254,0.346,0.432,0.778,80,,6,1,0,0,
14,Josh Smith*,20,6,23,16,3,4,0,0,2,5,0,0,4,3,0.25,0.435,0.625,1.06,10,,2,0,1,0,
15,Zach Watson,21,57,258,234,47,72,15,2,7,34,14,4,16,45,0.308,0.366,0.479,0.844,112,,6,1,1,0,
16,Nick Webre*,19,43,77,69,13,20,5,0,2,5,1,0,6,19,0.29,0.338,0.449,0.787,31,,0,0,2,0,
,16 Players,21,0,2558,2196,388,622,122,18,48,362,70,18,252,408,0.283,0.366,0.421,0.787,924,0,51,34,25,3,
